case_id,strategy,account_multiplier,ratio_type,p50,p75,p90,p95,p99,max,missing_denominator,grade
R1_RP100_S10_F1,OGR,1,order_to_daily_amount,0.001507533509894852,0.003083477081771894,0.004609157220810658,0.00617846932966035,0.009948233812151357,0.011551176691366143,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,1,order_to_ADV20,0.001221735354335842,0.002432196093716736,0.00409557616534823,0.005033055441911435,0.007757448427815773,0.01,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,2,order_to_daily_amount,0.003015067019789704,0.006166954163543788,0.009218314441621316,0.0123569386593207,0.019896467624302715,0.023102353382732286,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,2,order_to_ADV20,0.002443470708671684,0.004864392187433472,0.00819115233069646,0.01006611088382287,0.015514896855631547,0.02,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,5,order_to_daily_amount,0.00753766754947426,0.015417385408859471,0.02304578610405329,0.030892346648301747,0.04974116906075679,0.05775588345683071,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,5,order_to_ADV20,0.00610867677167921,0.01216098046858368,0.02047788082674115,0.025165277209557177,0.038787242139078866,0.05,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,10,order_to_daily_amount,0.01507533509894852,0.030834770817718942,0.04609157220810658,0.06178469329660349,0.09948233812151358,0.11551176691366143,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,OGR,10,order_to_ADV20,0.01221735354335842,0.02432196093716736,0.0409557616534823,0.050330554419114354,0.07757448427815773,0.1,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,SMV6,1,order_to_execution_window_volume,0.20669923237962318,0.4994523548740416,0.5,0.5,0.5,0.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,SMV6,2,order_to_execution_window_volume,0.41339846475924635,0.9989047097480832,1.0,1.0,1.0,1.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,SMV6,5,order_to_execution_window_volume,1.0334961618981158,2.497261774370208,2.5,2.5,2.5,2.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP100_S10_F1,SMV6,10,order_to_execution_window_volume,2.0669923237962315,4.994523548740416,5.0,5.0,5.0,5.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,1,order_to_daily_amount,0.0003208138259488481,0.0006953012680397196,0.0013076212062384457,0.001977799470055459,0.0032946043164432067,0.00794611593768882,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,1,order_to_ADV20,0.0005423687775333724,0.0011179439150939903,0.00190051862157271,0.002593403717169972,0.004170314576589511,0.007919884286893757,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,2,order_to_daily_amount,0.0006416276518976962,0.0013906025360794392,0.0026152424124768914,0.003955598940110918,0.0065892086328864135,0.01589223187537764,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,2,order_to_ADV20,0.0010847375550667449,0.0022358878301879806,0.00380103724314542,0.005186807434339944,0.008340629153179022,0.015839768573787515,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,5,order_to_daily_amount,0.0016040691297442406,0.0034765063401985983,0.0065381060311922295,0.009888997350277297,0.016473021582216033,0.0397305796884441,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,5,order_to_ADV20,0.002711843887666862,0.005589719575469952,0.00950259310786355,0.01296701858584986,0.020851572882947558,0.03959942143446879,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,ATRDR,10,order_to_daily_amount,0.003208138259488481,0.006953012680397197,0.013076212062384459,0.019777994700554594,0.032946043164432066,0.0794611593768882,0,DESCRIPTIVE_NO_IMPACT_MODEL
