route,year,phase,model,states,events,signal_dates,weighted_mse,weighted_bias,mean_predicted,mean_realized,top_mean_predicted,top_mean_realized,top_events,top_signal_dates,top_tail,domain_out_fraction,n_features,not_applicable_columns,unexpected_missing_fraction,b0_mse,mse_improvement_over_b0
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B1,957,69,19,0.0034032284179377945,-0.01093345135644049,-0.047324024652400536,-0.03639057329596004,-0.005296354344726067,-0.004192354951624556,37,15,-0.06010335799791273,0.014492753623188406,11,,0.20167189132706373,0.003420158551593953,1.6930133656158693e-05
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_PRICE,957,69,19,0.003436112862093954,-0.008655331119038519,-0.04504590441499856,-0.03639057329596004,-0.01818983589278214,-0.011047378970278812,42,19,-0.09027531500805086,0.014492753623188406,6,,0.0,0.003420158551593953,-1.5954310500000592e-05
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_EXTENDED,957,69,19,0.0034361128620939525,-0.008655331119038457,-0.04504590441499849,-0.03639057329596004,-0.018189835892782134,-0.011047378970278812,42,19,-0.09027531500805086,0.014492753623188406,11,,0.20167189132706373,0.003420158551593953,-1.595431049999929e-05
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_STRUCTURE,957,69,19,0.0034010412053761844,-0.01109119708136852,-0.047481770377328564,-0.03639057329596004,-0.006813470355575637,-0.003975981594235841,37,16,-0.0651385380973483,0.014492753623188406,9,,0.20167189132706373,0.003420158551593953,1.9117346217768783e-05
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_VOLUME,957,69,19,0.003409909022171466,-0.010961790317097934,-0.04735236361305798,-0.03639057329596004,-0.005164403116926342,-0.005184168006283261,37,16,-0.06010335799791273,0.014492753623188406,10,,0.20167189132706373,0.003420158551593953,1.0249529422487122e-05
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_PRICE_AUGMENT_ONLY,957,69,19,0.003408535846907714,-0.011115060875585772,-0.047505634171545824,-0.03639057329596004,-0.006651509283751439,-0.004314483584941813,35,15,-0.06452553677421154,0.014492753623188406,8,,0.20167189132706373,0.003420158551593953,1.1622704686239244e-05
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B0,466,35,12,0.002402369148161207,-6.467212285848342e-05,-0.03461901122250525,-0.03455433909964676,0.0033914061345451897,-0.024755301090987832,17,8,-0.07048764286787976,0.0,6,,0.0,0.002402369148161207,0.0
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B1,466,35,12,0.0024437084693511245,-0.0014446875636699506,-0.03599902666331672,-0.03455433909964676,0.0014241941044484897,-0.023114986755425254,22,9,-0.07048764286787976,0.0,11,,0.2145922746781116,0.002402369148161207,-4.133932118991759e-05
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_PRICE,466,35,12,0.0022539023035220117,-0.005116354930374424,-0.03967069403002118,-0.03455433909964676,-0.01785277017271965,-0.016426938385911097,23,9,-0.07683273755422255,0.0,6,,0.0,0.002402369148161207,0.00014846684463919527
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_EXTENDED,466,35,12,0.002253902303522011,-0.005116354930374435,-0.0396706940300212,-0.03455433909964676,-0.017852770172719846,-0.016426938385911097,23,9,-0.07683273755422255,0.0,11,,0.2145922746781116,0.002402369148161207,0.00014846684463919613
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_STRUCTURE,466,35,12,0.002366422146980107,-0.00018058226558270393,-0.03473492136522947,-0.03455433909964676,0.0020008558045407077,-0.023599436968520748,22,9,-0.07048764286787976,0.0,9,,0.2145922746781116,0.002402369148161207,3.594700118110007e-05
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_VOLUME,466,35,12,0.002466881635339742,-0.0014487504900239916,-0.03600308958967076,-0.03455433909964676,0.0019096249410362758,-0.022570312447513962,22,9,-0.07298354900017207,0.0,10,,0.2145922746781116,0.002402369148161207,-6.4512487178535e-05
ATRDR_SLOW_BEAR,2023,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_PRICE_AUGMENT_ONLY,466,35,12,0.0023907704528721343,-0.00017928223160326473,-0.03473362133125003,-0.03455433909964676,0.00252776931545986,-0.022057746569220084,22,9,-0.07048764286787976,0.0,8,,0.2145922746781116,0.002402369148161207,1.159869528907266e-05
MCB,2016,DISCOVERY_FORWARD,B0,995,72,10,0.004897607868111738,-0.013794710817888843,-0.051275181431042406,-0.037480470613153564,-0.019777280640769043,-0.00789312785192526,60,10,-0.0753009036538159,0.013020833333333334,6,,0.006030150753768844,0.004897607868111738,0.0
MCB,2016,DISCOVERY_FORWARD,B1,995,72,10,0.005030851359930973,-0.013533275361406428,-0.05101374597455999,-0.037480470613153564,-0.019861843391848395,-0.01385944385383901,61,10,-0.08249833878887103,0.014756944444444444,11,,0.21809045226130652,0.004897607868111738,-0.00013324349181923541
MCB,2016,DISCOVERY_FORWARD,B2_PRICE,995,72,10,0.005064096048780161,-0.012904061898299584,-0.05038453251145315,-0.037480470613153564,-0.013121461351761364,-0.004760186733660786,62,10,-0.03995938374375462,0.013020833333333334,6,,0.006030150753768844,0.004897607868111738,-0.00016648818066842316
MCB,2016,DISCOVERY_FORWARD,B2_EXTENDED,995,72,10,0.005064096048780158,-0.012904061898299476,-0.05038453251145304,-0.037480470613153564,-0.01312146135176137,-0.004760186733660786,62,10,-0.03995938374375462,0.014756944444444444,11,,0.21809045226130652,0.004897607868111738,-0.00016648818066842055
MCB,2016,DISCOVERY_FORWARD,B1_NO_STRUCTURE,995,72,10,0.005054331509398767,-0.013172825708356893,-0.050653296321510465,-0.037480470613153564,-0.019969335824542366,-0.01649266139238413,62,10,-0.09467611702235945,0.014756944444444444,9,,0.21809045226130652,0.004897607868111738,-0.0001567236412870288
