decision_at,total_distinct_legal_requested_notional,number_of_distinct_competing_opportunities,legal_opportunity_count,trade_date,cash_available_before_funding,gross_headroom_before_funding,nav,fundable_notional,constrained_notional,funded_count,unfunded_for_capital_reason_count,conflict_status
2024-04-01 15:00:00,329818.67114878225,2,8,2024-04-01,5682330.459630676,2187800.3651162907,7870130.824746966,329818.67114878225,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-04-02 15:00:00,760516.883184104,2,15,2024-04-02,5413370.46100312,2442252.407319883,7855622.868323003,760516.883184104,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-04-03 15:00:00,193467.951634409,1,3,2024-04-03,5307159.639075327,2584020.469721006,7891180.108796333,193467.951634409,0.0,,,NO_CONFLICT
2024-04-11 15:00:00,48007.81674038457,1,1,2024-04-11,5936855.468013894,1913581.2842661284,7850436.752280022,48007.81674038457,0.0,,,NO_CONFLICT
2024-04-22 15:00:00,63769.39905832675,1,1,2024-04-22,6744931.741137574,1085858.7435908695,7830790.484728444,63769.39905832675,0.0,,,NO_CONFLICT
2024-04-24 15:00:00,542856.3944118991,1,11,2024-04-24,6681162.342079247,1136825.0884262845,7817987.430505532,542856.3944118991,0.0,,,NO_CONFLICT
2024-04-25 15:00:00,191472.47874042834,1,3,2024-04-25,6138305.947667344,1692855.3204026737,7831161.268070017,191472.47874042834,0.0,,,NO_CONFLICT
2024-04-26 15:00:00,1128703.8206830996,1,20,2024-04-26,6184916.86210487,1681012.663353156,7865929.525458027,1128703.8206830996,0.0,,,NO_CONFLICT
2024-04-29 00:00:00,1376561.4,1,4,2024-04-29,5330468.928377207,2622318.045646261,7952786.974023469,1376561.4,0.0,,,NO_CONFLICT
2024-04-29 15:00:00,1184007.591294335,2,23,2024-04-29,5330468.928377207,2622318.045646261,7952786.974023469,1184007.591294335,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-04-30 00:00:00,1380510.9,1,4,2024-04-30,4277234.848766965,3633174.112917277,7910408.961684242,1380510.9,0.0,,,NO_CONFLICT
2024-05-06 15:00:00,676119.7546622346,1,11,2024-05-06,4553484.033700477,3413681.3553789277,7967165.389079405,676119.7546622346,0.0,,,NO_CONFLICT
2024-05-07 00:00:00,1390497.6652173912,1,7,2024-05-07,4140449.6819292163,3869425.632151235,8009875.314080451,1390497.6652173912,0.0,,,NO_CONFLICT
