gap,mcb_mode,target,mechanic,year,scope,peak,trough,recovery,recovery_status,MaxDD,peak_nav,trough_nav,actual_pnl,native_same_window_pnl,incremental_scaling_pnl,average_gross,average_Demand_exposure,max_single_name,cash_at_peak,cash_at_trough,turnover,fees,full_book_normalizations,existing_position_increases,existing_position_reductions
OGR,independent,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2024-02-27,RECOVERED,0.0979196631246847,8069737.107088719,7279551.168057824,-790185.939030895,-8134.813131542876,-782051.1258993521,0.08409178361888747,0.0,0.24999999999999997,7562407.107088719,5552692.378159578,0.3798994285608612,5113.512696928424,0,0,0
OGR,independent,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,2024-03-11,RECOVERED,0.10200761146282578,8106473.129372712,7279551.168057824,-826921.9613148887,-81475.06594522577,-745446.8953696629,0.07364964768354827,0.029244822313244823,0.24999999999999997,6068930.509470435,5552692.378159578,0.7339971329272321,9915.63499411783,0,0,0
OGR,independent,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,2025-12-26,RECOVERED,0.02978873501861301,10956885.14747867,10630493.399191052,-326391.74828761816,-116852.56203281693,-209539.18625480123,0.12487671753456252,0.004930322240812061,0.2152363466916438,8621654.04747867,7987862.7343648635,0.8855761772890854,6781.167127900619,0,0,0
OGR,independent,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,2025-12-26,RECOVERED,0.02978873501861301,10956885.14747867,10630493.399191052,-326391.74828761816,-116852.56203281693,-209539.18625480123,0.12487671753456252,0.004930322240812061,0.2152363466916438,8621654.04747867,7987862.7343648635,0.8855761772890854,6781.167127900619,0,0,0
OGR,independent,G25,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,,NOT_RECOVERED_AT_DATA_END,0.09094169133025964,11912921.204048457,10829540.001068177,-1083381.20298028,-186274.00508703664,-897107.1978932433,0.19776323607122992,0.11460735647812327,0.16466964271198406,9267444.703767732,8295216.216127332,0.8601761409573571,18186.691867582787,0,0,0
OGR,independent,G25,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,,NOT_RECOVERED_AT_DATA_END,0.09094169133025964,11912921.204048457,10829540.001068177,-1083381.20298028,-186274.00508703664,-897107.1978932433,0.19776323607122992,0.11460735647812327,0.16466964271198406,9267444.703767732,8295216.216127332,0.8601761409573571,18186.691867582787,0,0,0
OGR,independent,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2024-03-28,RECOVERED,0.3869580472197668,22965053.02598415,14078540.952750927,-8886512.073233223,-8134.813131542876,-8878377.26010168,0.37564274705201567,0.0,0.9999999999999999,22457723.02598415,3.725290298461914e-09,1.0987046808973095,45927.90051540149,0,0,0
OGR,independent,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,2024-04-03,RECOVERED,0.4009315748198027,23500722.72381266,14078540.952750927,-9422181.771061732,-81475.06594522577,-9340706.705116507,0.309812952295649,0.12624335175363338,0.9999999999999999,16727.458479072,3.725290298461914e-09,2.293672939744058,100218.12328794866,0,0,0
OGR,independent,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-12-31,2026-01-12,RECOVERED,0.13090703328861586,57609421.04114916,50067942.64317756,-7541478.3979716,130637.99640582502,-7672116.394377425,0.5737737371172449,0.039234936388796375,0.9763477880005688,7.450580596923828e-09,7.450580596923828e-09,2.097372516682354,206465.20173093525,0,0,0
OGR,independent,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-12-31,2026-01-12,RECOVERED,0.13090703328861586,57609421.04114916,50067942.64317756,-7541478.3979716,130637.99640582502,-7672116.394377425,0.5737737371172449,0.039234936388796375,0.9763477880005688,7.450580596923828e-09,7.450580596923828e-09,2.097372516682354,206465.20173093525,0,0,0
OGR,independent,G100,ENTRY_ONLY,2026,ANNUAL_LOCAL,2026-05-13,2026-07-08,,NOT_RECOVERED_AT_DATA_END,0.2876359188258548,68814418.78255425,49020920.207567096,-19793498.57498716,-186274.00508703664,-19607224.56990012,0.8246809065667242,0.41444946665138904,0.5739074994958899,9402624.201510996,3.725290298461914e-09,3.969356286722163,461836.59689832485,0,0,0
OGR,independent,G100,ENTRY_ONLY,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-08,,NOT_RECOVERED_AT_DATA_END,0.2876359188258548,68814418.78255425,49020920.207567096,-19793498.57498716,-186274.00508703664,-19607224.56990012,0.8246809065667242,0.41444946665138904,0.5739074994958899,9402624.201510996,3.725290298461914e-09,3.969356286722163,461836.59689832485,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,2024-09-30,RECOVERED,0.0597765529160349,7572933.739179498,7120249.864789808,-452683.8743896894,-452683.8743896894,0.0,0.13494589941699275,0.11497888006059609,0.04977105414871095,3703396.933650833,4486753.309167921,1.7389739360859031,19789.653907174248,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,2024-09-30,RECOVERED,0.0597765529160349,7572933.739179498,7120249.864789808,-452683.8743896894,-452683.8743896894,0.0,0.13494589941699275,0.11497888006059609,0.04977105414871095,3703396.933650833,4486753.309167921,1.7389739360859031,19789.653907174248,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,2025-07-21,RECOVERED,0.029337095260728807,8400911.07408903,8154452.745631568,-246458.32845746167,-246458.32845746167,0.0,0.12209246892432563,0.0982581078354583,0.07367119313210906,4816176.789014339,4050435.6285834275,1.7740274687009394,19569.91833139181,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,2025-07-21,RECOVERED,0.029337095260728807,8400911.07408903,8154452.745631568,-246458.32845746167,-246458.32845746167,0.0,0.12209246892432563,0.0982581078354583,0.07367119313210906,4816176.789014339,4050435.6285834275,1.7740274687009394,19569.91833139181,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-06-26,,NOT_RECOVERED_AT_DATA_END,0.02247719395351233,9959617.557845242,9735753.302294748,-223864.25555049442,-223864.25555049442,0.0,0.1273409252033542,0.07500549362472621,0.06212606020324605,4696615.583388084,9126477.975189667,0.6111861985634923,7890.907802474409,0,0,0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-06-26,,NOT_RECOVERED_AT_DATA_END,0.02247719395351233,9959617.557845242,9735753.302294748,-223864.25555049442,-223864.25555049442,0.0,0.1273409252033542,0.07500549362472621,0.06212606020324605,4696615.583388084,9126477.975189667,0.6111861985634923,7890.907802474409,0,0,0
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2025-02-06,RECOVERED,0.09126634864626681,9609218.846743034,8732220.529257907,-876998.3174851276,-8134.813131542876,-868863.5043535847,0.08400517283207087,0.0,0.24999999999999992,9101888.846743034,6610667.48891429,0.5338955117066272,9169.717399651623,2,0,1
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,2025-02-17,RECOVERED,0.10418204410839038,9747762.334777838,8732220.529257907,-1015541.805519931,-34646.869937992655,-980894.9355819384,0.1654568292742838,0.13930430804554844,0.24999999999999992,8176080.448534885,6610667.48891429,5.272328889739329,96849.61521115841,46,390,297
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,2025-05-08,RECOVERED,0.033556304910021595,9815131.749034507,9485772.195331872,-329359.5537026357,-106462.87315812055,-222896.68054451514,0.20706980379126105,0.17633102439887974,0.08110640155605103,7479026.9127165545,7275974.111356453,1.6028066140697341,21617.561783670262,17,111,161
