gap,mcb_mode,target,mechanic,state_family,decision_at,state_as_of,year,from_state,to_state,forward_1d_incremental_pnl,forward_3d_incremental_pnl,forward_5d_incremental_pnl,forward_10d_incremental_pnl,forward_20d_incremental_pnl,interpretation
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-11 09:30:00,2022-07-08 15:00:00,2022,TRANSITION,BULL,-121655.82846461702,-298466.4707260411,-552416.8197152764,-418182.545457636,2090565.2894309266,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-12 09:30:00,2022-07-11 15:00:00,2022,BULL,TRANSITION,-247872.6759842597,-272117.79179592244,-307029.76962279156,-344353.8468533596,2425441.5726494193,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-15 09:30:00,2022-07-14 15:00:00,2022,TRANSITION,BULL,-158643.1994547369,72129.8588139005,160557.74934268277,929541.3733957885,2608282.5716811763,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-18 09:30:00,2022-07-15 15:00:00,2022,BULL,BEAR,123731.22162786778,642388.7168211993,134234.27425764035,859956.1250830609,2561616.2797965333,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-19 09:30:00,2022-07-18 15:00:00,2022,BEAR,BULL,107041.83664076962,195469.7271695519,-37324.077230568044,653088.8691988457,2359008.4129425436,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-26 09:30:00,2022-07-25 15:00:00,2022,BULL,TRANSITION,178040.8063682448,1001777.4284532256,690412.9464294137,2769795.419502779,2246458.9813482855,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-07-28 09:30:00,2022-07-27 15:00:00,2022,TRANSITION,BULL,699358.6561810849,387994.174157273,2174282.531258804,2115410.7584509924,1115691.3608319284,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-08-03 09:30:00,2022-08-02 15:00:00,2022,BULL,TRANSITION,1222084.9933405342,1301958.6545584928,1155363.0868261177,1141103.3733821493,995551.2593962969,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-08-09 09:30:00,2022-08-08 15:00:00,2022,TRANSITION,BULL,-359816.02248625085,-89276.79276416544,-373462.92932966724,-523336.43815449346,3994304.9870218635,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-08-25 09:30:00,2022-08-24 15:00:00,2022,BULL,TRANSITION,477990.44223470613,-672727.2890710663,-1221531.1301553554,5345990.273420573,3539558.146451788,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-08-31 09:30:00,2022-08-30 15:00:00,2022,TRANSITION,BULL,-2053588.5666379936,3859330.237302432,4513932.836937935,4628563.034549405,2217016.7122039776,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-09-02 09:30:00,2022-09-01 15:00:00,2022,BULL,TRANSITION,3098086.1996693816,3752688.799304885,3752688.799304885,873322.9272247851,229562.68015799928,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-09-15 09:30:00,2022-09-14 15:00:00,2022,TRANSITION,BEAR,-2064120.1572617637,-1767786.0752786426,-1491888.8265357306,-2411546.3223454272,-554380.3359240182,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-11-01 09:30:00,2022-10-31 15:00:00,2022,BEAR,TRANSITION,1074710.126560009,2371255.030139964,2637644.140210299,2033102.6976653812,2342383.451833468,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-12-05 09:30:00,2022-12-02 15:00:00,2022,TRANSITION,BULL,736063.6791509977,902039.649900917,773443.7217608318,493057.73706927896,-487042.6808110392,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-12-07 09:30:00,2022-12-06 15:00:00,2022,BULL,TRANSITION,68185.75978938583,-60410.16835069936,-243350.84317241237,-1508459.0027333861,-1320896.5709225694,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-12-14 09:30:00,2022-12-13 15:00:00,2022,TRANSITION,BEAR,-174098.29738481436,-97445.30986983981,-1265108.1595609738,-1077545.727750158,-1056311.827141025,Overlapping forward diagnostics from observable morning state; not additive annual P&L
