year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2022,MINORITY_POSITIVE_20D,2791002713.476181,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2023,MAJORITY_POSITIVE_20D,2667621078.597943,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2023,MINORITY_POSITIVE_20D,2738068761.74429,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2024,MAJORITY_POSITIVE_20D,2674137983.369929,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2024,MINORITY_POSITIVE_20D,3071751643.1278176,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2025,MAJORITY_POSITIVE_20D,4160305175.3672175,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2025,MINORITY_POSITIVE_20D,3297523532.232582,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2026,MAJORITY_POSITIVE_20D,2677935437.2246904,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2026,MINORITY_POSITIVE_20D,3280267922.0664644,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2018,BEAR,985767662.9386095,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2018,BULL,60078729.662750095,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2018,TRANSITION,495569380.0390383,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2019,BEAR,729121175.073955,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2019,BULL,510525986.2733663,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2019,TRANSITION,701186709.6568516,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2020,BEAR,1123602276.1488688,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2020,BULL,1366464597.5665758,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2020,TRANSITION,723840729.0183178,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2021,BEAR,1287220007.242136,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2021,BULL,1452765879.5846877,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2021,TRANSITION,1921193980.321804,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2022,BEAR,4038767437.96933,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2022,BULL,1359139497.3770034,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2022,TRANSITION,4030627005.8783674,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2023,BEAR,4318579478.675247,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2023,BULL,2995548091.669666,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2023,TRANSITION,3609114195.3863683,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2024,BEAR,5384112496.197283,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2024,BULL,3384461959.9809413,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2024,TRANSITION,2548155993.7412786,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2025,BEAR,3824488458.0035596,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
