gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,IFCGR,41715.45758319859,5895.2807939952945,35820.1767892033
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,11135.704600952335,-217.15582256690027,11352.860423519236
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,26273.49445631165,1305.504646223767,24967.98981008789
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,IFCGR,25807.83738396337,808.0477272316775,24999.789656731686
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,IFCGR,-119.1439905871066,-289.63369760484875,170.48970701774215
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,IFCGR,11720.505663887718,569.9347940300379,11150.57086985768
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-39866.38739168695,-2783.540047893306,-37082.84734379364
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-1440709.072987149,31924.247820886532,-1472633.3208080356
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,IFCGR,-1438117.035113491,33171.66261612264,-1471288.6977296136
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,IFCGR,-1796.425707336895,-936.1405638393571,-860.2851434975379
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,IFCGR,-40661.9995580081,-3094.8142792900526,-37567.18527871804
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,141858.16653564418,-299.7343664000646,142157.90090204423
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,1278397.7709640893,7043.715452151743,1271354.0555119375
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,IFCGR,377477.4672360754,-832.7492590912598,378310.2164951666
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,IFCGR,139011.47978241977,-309.53254247673976,139321.01232489652
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,IFCGR,903766.9904812383,7886.262887319678,895880.7275939187
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,28755.919791422242,3965.7836989649877,24790.136092457255
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-620396.3095234073,8177.840282613553,-628574.1498060208
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,IFCGR,-620396.3095234073,8177.840282613553,-628574.1498060208
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,IFCGR,28755.919791422242,3965.7836989649877,24790.136092457255
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,24883.167949251187,26968.90892761915,-2085.740978367964
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,84454.18377511857,60491.86291178117,23962.320863337383
