gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family,mean_route_gross,max_route_gross,mean_Demand_gross,max_Demand_gross,max_Demand_single_name,max_overlap_names,capital_days,native_capital_days,incremental_capital_days,capital_trace_scope
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,MCB,MCB,625205.4021411947,32708.157105777125,592497.2450354175,market_regime,0.2267601254753522,0.3611615126476056,0.8020461391737138,1.0000000000000002,0.6648908634900978,26.0,310319593.68225294,27035406.167860396,283284187.51439255,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,OGR,FIXED_BELOW_L_REPAIR,-49389.80194879664,-1374.073920236032,-48015.7280285606,market_regime,0.0108357286792063,0.097931183500113,0.6173588664045069,0.997551498984021,0.5162421855724876,26.0,7523268.054532582,442750.4769018245,7080517.577630757,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,SMV6,NATIVE_CALLBACK,148020.50680044168,875.589543187034,147144.91725725465,market_regime,0.2729924577626811,0.549187661843099,0.4856523754121015,0.9956813157525948,0.1053599026334682,26.0,217285953.02296376,29464441.232644822,187821511.79031894,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,ATRDR,BULL,2251995.9994405424,167383.46710445426,2084612.5323360884,market_regime,0.4892364705371309,1.0,0.9177955689369636,1.0000000000000002,1.0,24.0,703392082.8692625,45661041.19762825,657731041.6716342,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,ATRDR,FAST_BEAR,1871149.4808630736,10530.368967916416,1860619.1118951575,market_regime,0.4250079850550325,0.9999999999999988,0.760479372112018,0.9999999999999988,0.9999999999999988,24.0,201620023.21333143,1810122.87226669,199809900.34106475,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,ATRDR,SLOW_BEAR,116943.34864022736,30179.008839529448,86764.33980069788,market_regime,0.4284975877247088,0.988838833552868,0.901419647517866,0.9999999999999996,0.2213831329009726,24.0,511338496.89580214,25528083.95525603,485810412.9405461,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,MCB,MCB,862406.0179188175,82838.20502414893,779567.8128946685,market_regime,0.2628843947520525,0.4175444656813513,0.8994550317375511,1.0000000000000002,0.6623968725728716,24.0,283105842.0606316,23197606.796485525,259908235.26414606,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,OGR,FIXED_BELOW_L_REPAIR,765104.8396268704,2940.670986629734,762164.1686402406,market_regime,0.1832718542955354,0.9999999999999998,0.7226725827086545,0.9975091427410908,0.7373717105318572,24.0,194553877.5265433,750791.4250414049,193803086.10150188,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,TRANSITION,SMV6,NATIVE_CALLBACK,-55933.92464609169,10262.309527282076,-66196.23417337377,market_regime,0.0620939543259078,0.3261831595074187,0.493596843111643,0.9636362245427692,0.0578686637098073,24.0,27183657.756233167,11115166.024365015,16068491.731868152,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,ATRDR,BULL,-574672.9971959947,-23446.10385047972,-551226.893345515,market_regime,0.6534746028206949,0.9999999999999976,0.9682415509726502,1.0,0.253537612456,4.0,484201542.3569784,18336235.31185976,465865307.04511863,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,ATRDR,FAST_BEAR,-62292.88909021608,49489.48373200182,-111782.37282221776,market_regime,0.4947791910374104,0.9999999999999986,0.946577220257616,1.0,0.852395384993983,4.0,917673460.697908,21964508.232196003,895708952.4657121,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,ATRDR,SLOW_BEAR,391914.3636116391,60942.697148636194,330971.66646300314,market_regime,0.5492268969910229,0.9999999999999992,0.933577552684677,1.0,0.999999999999999,4.0,1347128485.9532385,31437196.07586887,1315691289.8773696,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,MCB,MCB,116713.72262465348,697.2510517444935,116016.47157290898,market_regime,0.1061101393693417,0.2615019665326297,0.9568992477485976,1.0,0.253537612456,4.0,51336423.44671003,2365204.967975786,48971218.47873424,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,OGR,FIXED_BELOW_L_REPAIR,-648284.7339114338,10575.857103676111,-658860.5910151094,market_regime,0.3682886207889884,0.9999999999999988,0.6115300640145798,0.972878365754088,0.8748137126623513,0.0,1192549601.8296049,2802110.0088670957,1189747491.8207378,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BEAR,SMV6,NATIVE_CALLBACK,8641.034251936071,-497.2480328799961,9138.282284816069,market_regime,0.3629297149125178,0.3629297149125178,0.4451257235677718,0.4451257235677718,0.1858850949486701,2.0,45877923.68489,379543.46440166666,45498380.22048833,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BULL,ATRDR,BULL,1558262.7529173382,42895.54168602035,1515367.2112313178,market_regime,0.7440363656769589,0.9999999999999976,0.8528409296302721,1.0,0.9999999999999976,22.0,1071346783.7125624,28926533.77550605,1042420249.9370564,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BULL,MCB,MCB,103756.80047129146,7684.910665995672,96071.8898052958,market_regime,0.2683845910848392,0.3758667071856691,0.8505016923091284,1.0,0.185041338833661,22.0,158731869.9972757,12037652.834616276,146694217.16265944,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BULL,OGR,FIXED_BELOW_L_REPAIR,15925.26193100605,491.96675369282366,15433.295177313226,market_regime,0.007149820992465,0.0074555725828896,0.9723114226396964,0.9925444274171104,0.0569599831820399,0.0,1594301.4077410295,50743.757575462136,1543557.6501655674,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,BULL,SMV6,NATIVE_CALLBACK,-443083.056681366,-29797.408679175496,-413285.6480021905,market_regime,0.1540940482163867,0.55711453611343,0.6328144375579717,0.9765525345248116,0.2756657990885842,2.0,127466542.2594241,5275813.280640696,122190728.97878341,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,ATRDR,BULL,5009069.957353201,-127.39207929059012,5009197.349432491,market_regime,0.5895427609707855,0.9999999999999992,0.8196817474498123,0.9999999999999998,0.999999999999998,23.0,2505448891.9732227,110715478.47745682,2394733413.4957657,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,ATRDR,FAST_BEAR,1499697.9137075366,17784.520869921133,1481913.3928376157,market_regime,0.1902993161392195,0.6264114135188534,0.964102616731458,0.9999999999999996,0.1881171920080107,23.0,206178515.7774046,8548234.718443258,197630281.05896136,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,ATRDR,SLOW_BEAR,530746.8649005916,61056.14410758478,469690.7207930067,market_regime,0.3126635884504734,0.9391175687867944,0.825842853014385,0.9999999999999996,0.49571488923909,23.0,403831646.0883079,33093293.64905767,370738352.43925023,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,MCB,MCB,-126362.79789297684,27952.199387699675,-154314.9972806765,market_regime,0.1565112967801843,0.354008771243305,0.7674904039029057,0.9999999999999998,0.2255944267269016,23.0,515433504.21122813,34217222.455692515,481216281.7555356,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,OGR,FIXED_BELOW_L_REPAIR,198582.3225806839,5926.564066329467,192655.7585143544,market_regime,0.03500671974774,0.9999999999999988,0.8602271125841033,0.9975147515330488,0.49571488923909,22.0,30337720.88231901,1610449.0309556818,28727271.851363327,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,TRANSITION,SMV6,NATIVE_CALLBACK,556090.6906003212,64710.1556137601,491380.53498656105,market_regime,0.3305228351420274,0.5663518301469981,0.5470380634469169,0.9631317537625382,0.2823609086702849,10.0,369396726.94588494,34024478.46424166,335372248.48164326,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,BEAR,ATRDR,BULL,271485.62910267874,24830.95422644756,246654.6748762312,market_regime,0.5243099520512503,0.9999999999999976,0.9750664226183424,0.9999999999999992,0.9999999999999972,34.0,1074086929.0489204,18359921.320146836,1055727007.7287736,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,BEAR,ATRDR,FAST_BEAR,1753993.2179450411,4417.7589740060575,1749575.4589710345,market_regime,0.6968234651755328,0.9999999999999988,0.85330271346375,0.9999999999999988,0.5782187661169786,2.0,896321498.5094988,3010025.93437382,893311472.575125,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,BEAR,ATRDR,SLOW_BEAR,5894255.772604188,56527.274549183174,5837728.498055005,market_regime,0.6759455776806004,0.9999999999999992,0.9598931511999164,0.999999999999999,0.9999999999999988,5.0,1357173498.393464,14369353.565514704,1342804144.8279493,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,BEAR,MCB,MCB,79297.73123655729,11410.109640115776,67887.62159644149,market_regime,0.2238331470826721,0.384528768185968,0.9730717364278102,0.9999999999999992,0.2878070466201053,34.0,454078466.535274,9391721.336968765,444686745.19830525,ACTUAL_ROOT_CALENDAR_TRACE
