gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,-34046.18436156383,10547.583122413609,-44593.76748397742,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,MCB,MCB,0.0,-1407.4029834542307,1407.4029834542307,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,-799.1783495679992,-497.2480328799961,-301.93031668800313,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,ATRDR,BULL,169560.68710205512,120426.7155115164,49133.97159053871,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,-111507.20174871304,-7907.1846852552335,-103600.01706345781,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,194806.158122095,26499.828202981822,168306.32991911314,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,3260.6984003354737,-217.15582256690027,3477.854222902374,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,MCB,MCB,32525.52626854315,63950.64325658034,-31425.116988037185,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,-142858.00617097414,-76835.10907183707,-66022.89709913707,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,ATRDR,BULL,-31710.527587110017,10212.30179826061,-41922.82938537063,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,18707.539739680797,1198.3621848859475,17509.177554794856,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,324966.004419203,56527.2745491831,268438.72987001983,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,10705.986764914736,1305.504646223767,9400.48211869098,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,MCB,MCB,92.54274776610691,-3436.5854358088545,3529.1281835749614,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,231102.0407804901,147222.42272739403,83879.61805309606,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,ATRDR,BULL,117626.07570948506,373722.34197834565,-256096.26626886058,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,-3.8673855057809305,0.0,-3.8673855057809305,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,-245518.66329639804,-160292.38204222068,-85226.28125417736,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,-12268.590456206093,-2783.540047893306,-9485.050408312789,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,MCB,MCB,33237.92786043217,114026.83031085115,-80788.90245041897,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,220647.6181099457,457842.5126481544,-237194.8945382087,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,ATRDR,BULL,-158579.22864192355,-95953.83123059281,-62625.39741133073,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,11122.394253038336,18306.45056220863,-7184.056309170293,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,341986.473380944,282171.8542124047,59814.61916853933,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,-399851.46055373026,31924.247820886532,-431775.7083746168,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,MCB,MCB,-53370.38628835326,-26555.15179272102,-26815.234495632234,breadth_bucket
