route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D05,C_MAX,S0_CURRENT,BEAR,758,186,13,0.5949868073878628,451,-0.0024337170890757643,-0.01040867569178131,-460529.90981860034,0.401330376940133,0.7719110669872061,-0.17993463718291808,0.08497126138452897,-0.07542081876526226,10.01330376940133,758,153,134740.3489891999,13,0
D05,C_MAX,S0_CURRENT,BULL,2269,407,22,0.5672102247686205,1285,-0.0016753856299240501,-0.0014777800870625461,-190051.4844094005,0.4171206225680934,0.9612874685304036,-0.14437790780804238,0.08705217363032738,-0.07018417965374311,10.009338521400778,2269,364,251183.29625699978,21,0
D05,C_MAX,S0_CURRENT,TRANSITION,1559,281,33,0.6061577934573444,915,-0.010839928401626689,-0.006789386038768173,-602061.8766490004,0.4360655737704918,0.8024096090387961,-0.13633683050665446,0.07381194710649579,-0.06441509860947858,10.007650273224044,1559,250,-300432.4438281,17,0
D05,C_MAX,S1,HIGH_IMPROVING,1066,184,51,0.5919324577861164,631,-0.009611380715241945,-0.0059317259775220265,-372097.01539530023,0.42789223454833597,0.8434613871450234,-0.14887735548758707,0.08269814536563375,-0.06882900287308558,10.015847860538827,1066,163,421508.81082059955,15,0
D05,C_MAX,S1,HIGH_NONIMPROVING,1320,196,49,0.6,792,-0.0018931176388510545,-0.0004817564808907771,-39679.44863370026,0.4090909090909091,0.9851020957889898,-0.128132959060612,0.07881163196727055,-0.06335598291480823,10.007575757575758,1320,180,-463936.66888739995,6,0
D05,C_MAX,S1,LOW_IMPROVING,985,226,44,0.5868020304568528,573,-0.00801160226595724,-0.013744532368952985,-765472.9892540004,0.3944153577661431,0.6797690988725453,-0.15862089795278922,0.0797084007664986,-0.07402436949101489,10.0,985,206,-132804.0183947999,13,0
D05,C_MAX,S1,LOW_NONIMPROVING,1215,268,54,0.5613168724279836,655,-0.000329612474315278,-0.0012297116064880448,-75393.8175940006,0.45190839694656487,0.9703706864843179,-0.16466074122039934,0.0877065003341069,-0.07193324022300678,10.013740458015267,1215,218,260723.07787970005,17,1215
D06,C_MAX,S0,BEAR,8676,207,14,0.696058091286307,6021,-0.010314282754697595,0.008472674407206792,4380086.553442897,0.5464208603222056,1.3161911792290881,-0.11350696801232993,0.07160247680670848,-0.053194811395112646,10.00199302441455,8676,184,-210712.86424509995,6,0
D06,C_MAX,S0,BULL,11633,426,21,0.6429124043668873,7474,-0.003156172165480018,0.012626181270151979,7649850.468408898,0.5485683703505486,1.454535914653215,-0.11208374197447554,0.07436549700547199,-0.04822235874379303,10.009900990099009,11633,365,-171897.2683926001,67,0
D06,C_MAX,S0,TRANSITION,10960,297,35,0.6908759124087591,7548,0.0017239028294632533,0.003056918086538899,1806752.1483261979,0.49417064122946475,1.1039068281341822,-0.10670493279366593,0.06315947319470383,-0.0502507347725654,10.004372019077902,10960,265,-102335.85768720001,4,0
D06,C_MAX,S0_CURRENT,BEAR,7610,206,14,0.6804204993429698,5164,-0.010123229385626872,0.008852612999113557,3893381.3925468978,0.5466692486444616,1.3103367765922074,-0.12016645700385463,0.07285643460192373,-0.054689591200454704,10.002130131680868,7610,182,-183696.36635389994,7,0
D06,C_MAX,S0_CURRENT,BULL,12052,430,22,0.6446232990375041,7763,-0.0025032071005231162,0.012735848499020966,7979522.341864698,0.5499162694834471,1.4494353344226159,-0.11245804644676889,0.07430383692388247,-0.04846239038057153,10.007600154579416,12052,368,-149172.53016260004,66,0
D06,C_MAX,S0_CURRENT,TRANSITION,11607,294,35,0.7015594038080468,8116,0.0006193654155891331,0.0029413976972377347,1963785.4357663984,0.49630359783144407,1.1105072034835206,-0.10370563505936299,0.06291308856841796,-0.04945315786605238,10.006037456875308,11607,264,-152077.0938084001,4,0
D06,C_MAX,S1,HIGH_IMPROVING,8831,193,51,0.6593817234741253,5819,-0.0006139746095711799,0.012696358096850102,6371209.5792398,0.5531878329609898,1.5998860332076876,-0.09217599553156693,0.06747013005234212,-0.042395211207590086,10.008076989173398,8831,173,21357.764187000008,47,0
D06,C_MAX,S1,HIGH_NONIMPROVING,3760,209,51,0.663563829787234,2493,-0.0012159097646279315,0.009802927129475064,2096047.0829122989,0.5146409947853992,1.3425786824459074,-0.11693475835949013,0.07328223886669771,-0.05045651494905607,10.007621339751303,3760,173,-97683.45140380005,0,0
D06,C_MAX,S1,LOW_IMPROVING,14717,253,47,0.6874362981585921,10091,-0.001600243522655341,0.007827627933496149,6341237.741450696,0.5373104746804083,1.2711913807334831,-0.11345935784283252,0.07038002034099909,-0.052876022747864355,10.004954910316123,14717,216,-197360.26216100017,22,0
D06,C_MAX,S1,LOW_NONIMPROVING,3961,275,54,0.6702852814945721,2640,-0.00817982449225785,-0.003352927818241717,-971805.2334248004,0.453030303030303,0.877742560387642,-0.12656273681455119,0.06748024530887725,-0.058308577041948244,10.001136363636364,3961,252,-211260.04094709991,8,3961
D07,C_MAX,S0,BEAR,2239,190,14,0.6114336757481018,1363,-0.01131896127925011,-0.004838630623143537,-635698.8706842999,0.4644167278063096,0.8658748706787599,-0.15357882595185773,0.07946363909259153,-0.06678759084390805,10.013939838591343,2239,175,-88695.83912560005,26,0
D07,C_MAX,S0,BULL,5047,397,20,0.5892609470972855,2973,-0.003103858467658166,-0.0012375391495277057,-639897.1507115003,0.4254961318533468,0.9270917811312284,-0.1206391350241818,0.07295999120424049,-0.05745675922544322,10.005718129835182,5047,356,-260559.34049329997,17,0
D07,C_MAX,S0,TRANSITION,3555,275,35,0.640225035161744,2268,-0.0071724214986385645,0.005376678420280335,1075488.1250178004,0.46649029982363316,1.1694646678503582,-0.11387949524808096,0.07579585676217936,-0.05650348845097069,10.00925925925926,3555,228,-142419.7952942002,24,0
D07,C_MAX,S0_CURRENT,BEAR,1967,189,14,0.6115912557193696,1198,-0.009789231591388083,-0.00517877982346106,-605606.0352016997,0.4707846410684474,0.8579585392431627,-0.1585431552300676,0.08021572142370942,-0.06788708488124987,10.015859766277128,1967,182,-84898.59240560008,32,0
