block,window_sessions,start_date,end_date,control_return,candidate_return,active_return
DEVELOPMENT_2024_2025,126,2024-08-28,2025-03-12,0.6561357175615128,0.6561357175615128,0.0
DEVELOPMENT_2024_2025,126,2024-08-29,2025-03-13,0.649427740258147,0.649427740258147,0.0
DEVELOPMENT_2024_2025,126,2024-08-30,2025-03-14,0.6374557343405183,0.6374557343405183,0.0
DEVELOPMENT_2024_2025,126,2024-09-02,2025-03-17,0.6522883231166421,0.6522883231166421,0.0
DEVELOPMENT_2024_2025,126,2024-09-03,2025-03-18,0.6702773689380048,0.6702773689380048,0.0
DEVELOPMENT_2024_2025,126,2024-09-04,2025-03-19,0.6604630407999352,0.6604630407999352,0.0
DEVELOPMENT_2024_2025,126,2024-09-05,2025-03-20,0.6430554278019895,0.6430554278019895,0.0
DEVELOPMENT_2024_2025,126,2024-09-06,2025-03-21,0.6360621266377564,0.6360621266377564,0.0
DEVELOPMENT_2024_2025,126,2024-09-09,2025-03-24,0.6041608630693902,0.6041608630693902,0.0
DEVELOPMENT_2024_2025,126,2024-09-10,2025-03-25,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-11,2025-03-26,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-12,2025-03-27,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-13,2025-03-28,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-18,2025-03-31,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-19,2025-04-01,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-20,2025-04-02,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-23,2025-04-03,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-24,2025-04-07,0.6000922599837311,0.6000922599837311,0.0
DEVELOPMENT_2024_2025,126,2024-09-25,2025-04-08,0.5877655376475597,0.5877655376475597,0.0
DEVELOPMENT_2024_2025,126,2024-09-26,2025-04-09,0.5048956744526734,0.5048956744526734,0.0
DEVELOPMENT_2024_2025,126,2024-09-27,2025-04-10,0.347507222936541,0.347507222936541,0.0
DEVELOPMENT_2024_2025,126,2024-09-30,2025-04-11,0.14580955547194074,0.14580955547194074,0.0
DEVELOPMENT_2024_2025,126,2024-10-08,2025-04-14,-0.021568632620703854,-0.021568632620703854,0.0
DEVELOPMENT_2024_2025,126,2024-10-09,2025-04-15,0.03506522775581988,0.03506522775581988,0.0
DEVELOPMENT_2024_2025,126,2024-10-10,2025-04-16,0.12078795997304037,0.12078795997304037,0.0
DEVELOPMENT_2024_2025,126,2024-10-11,2025-04-17,0.1692806263256359,0.1692806263256359,0.0
DEVELOPMENT_2024_2025,126,2024-10-14,2025-04-18,0.1107952447857461,0.1107952447857461,0.0
DEVELOPMENT_2024_2025,126,2024-10-15,2025-04-21,0.13858667414344383,0.13858667414344383,0.0
DEVELOPMENT_2024_2025,126,2024-10-16,2025-04-22,0.09482206956992978,0.09482206956992978,0.0
DEVELOPMENT_2024_2025,126,2024-10-17,2025-04-23,0.07186276028946903,0.07186276028946903,0.0
DEVELOPMENT_2024_2025,126,2024-10-18,2025-04-24,-0.008811115238205769,-0.008811115238205769,0.0
DEVELOPMENT_2024_2025,126,2024-10-21,2025-04-25,-0.029003500578978714,-0.029003500578978714,0.0
DEVELOPMENT_2024_2025,126,2024-10-22,2025-04-28,-0.019405953107601626,-0.019405953107601626,0.0
DEVELOPMENT_2024_2025,126,2024-10-23,2025-04-29,-0.02165412243802367,-0.02165412243802367,0.0
DEVELOPMENT_2024_2025,126,2024-10-24,2025-04-30,0.0020118676608831265,0.0020118676608831265,0.0
DEVELOPMENT_2024_2025,126,2024-10-25,2025-05-06,-0.010170096889871694,-0.010170096889871694,0.0
DEVELOPMENT_2024_2025,126,2024-10-28,2025-05-07,-0.042306695294625496,-0.042306695294625496,0.0
DEVELOPMENT_2024_2025,126,2024-10-29,2025-05-08,-0.007674213298756616,-0.007674213298756616,0.0
DEVELOPMENT_2024_2025,126,2024-10-30,2025-05-09,-0.0005923130026523893,-0.0005923130026523893,0.0
DEVELOPMENT_2024_2025,126,2024-10-31,2025-05-12,-0.04952818486123001,-0.04952818486123001,0.0
DEVELOPMENT_2024_2025,126,2024-11-01,2025-05-13,-0.001052114053148978,-0.001052114053148978,0.0
DEVELOPMENT_2024_2025,126,2024-11-04,2025-05-14,-0.055942991277824206,-0.055942991277824206,0.0
DEVELOPMENT_2024_2025,126,2024-11-05,2025-05-15,-0.13424906779402246,-0.13424906779402246,0.0
DEVELOPMENT_2024_2025,126,2024-11-06,2025-05-16,-0.1594342102540931,-0.1594342102540931,0.0
DEVELOPMENT_2024_2025,126,2024-11-07,2025-05-19,-0.22754023947968038,-0.22754023947968038,0.0
DEVELOPMENT_2024_2025,126,2024-11-08,2025-05-20,-0.1976501335062092,-0.1976501335062092,0.0
