feature,quintile,realized_bin_count,n,feature_min,feature_median,feature_max,round_trip_return_n,round_trip_return_mean,round_trip_return_median,mfe_n,mfe_mean,mfe_median,mae_n,mae_mean,mae_median,return_5d_n,return_5d_mean,return_5d_median,return_10d_n,return_10d_mean,return_10d_median,return_20d_n,return_20d_mean,return_20d_median,winner_ge20_n,winner_ge20_rate,winner_ge50_n,winner_ge50_rate,severe_loss_le_neg10_n,severe_loss_le_neg10_rate,extreme_loss_le_neg20_n,extreme_loss_le_neg20_rate
breadth_above_ma60,1,5,78,0.2711864406779661,0.47186011978147824,0.5475285171102662,78,0.007246394273225827,-0.0162367862052333,78,0.09349316523670066,0.05082550387964145,78,-0.05463134498144985,-0.03998040807157785,52,0.01952603297545475,-0.0050486516751914,27,0.020582234688703287,0.0032771535580524,10,0.08532489369377774,0.06984145444878735,78,0.02564102564102564,78,0.02564102564102564,78,0.08974358974358974,78,0.01282051282051282
breadth_above_ma60,2,5,77,0.5490196078431373,0.5802469135802469,0.6406926406926406,77,0.08891677792126883,-0.0125751443283405,77,0.2560679502493972,0.0634328358208953,77,-0.05163946567532472,-0.0398230088495575,52,0.12917004794907938,0.0236783313745321,36,0.13694735472592337,0.0347016601108803,17,0.3848895922755861,0.33625250501002,77,0.15584415584415584,77,0.07792207792207792,77,0.1038961038961039,77,0.0
breadth_above_ma60,3,5,77,0.6412556053811659,0.6900584795321637,0.7359154929577465,77,0.05374676714385435,-0.0122235355268879,77,0.19475153336245277,0.0757649344341913,77,-0.050371709217215906,-0.0506653019447287,62,0.027223990083166005,0.014519956373069201,51,0.050865384298762174,0.0337972166998012,21,0.21506736537350732,0.2100558659217877,77,0.14285714285714285,77,0.03896103896103896,77,0.012987012987012988,77,0.0
breadth_above_ma60,4,5,77,0.7435387673956262,0.7896551724137931,0.815028901734104,77,0.015078338606372374,-0.0271048260322548,77,0.1374857224683237,0.0592901878914404,77,-0.06015975516184652,-0.055603448275862,55,0.028381539957586147,-0.001470588235294,34,0.04911968695518814,0.013268065782281301,19,0.12638687219633307,0.0628525382755842,77,0.09090909090909091,77,0.025974025974025976,77,0.11688311688311688,77,0.0
breadth_above_ma60,5,5,78,0.8151447661469933,0.8630248091603054,0.997093023255814,78,-0.012728435419649782,-0.0518379636437381,78,0.14215496503937003,0.06764269971817136,78,-0.07837127419100409,-0.0761848497401521,65,0.008312414235916579,-0.0013837638376383,37,0.06539952438684325,0.0641680863145939,21,0.1564656987661557,0.1086086086086084,78,0.0641025641025641,78,0.01282051282051282,78,0.23076923076923078,78,0.01282051282051282
breadth_new_high60,1,5,78,0.0,0.0,0.001976284584980237,78,-0.001419087607218238,-0.020571960662474,78,0.09001328331294163,0.05360210528817515,78,-0.0548662062834167,-0.0409794748679179,50,0.012940841227927912,0.00407435202190285,31,0.0357350223100971,0.0114411882778,13,0.08326039765929198,0.0536632390745501,78,0.02564102564102564,78,0.0,78,0.08974358974358974,78,0.0
breadth_new_high60,2,5,78,0.0021645021645021645,0.0031697711334820263,0.004016064257028112,78,0.03893045644915494,-0.01412155557887475,78,0.1578448040417988,0.060123954326189194,78,-0.05450702817830113,-0.04904488456580335,53,0.04508097488984568,0.0146017699115044,27,0.08346097089225556,0.0548387096774194,9,0.21870535678184308,0.2100558659217877,78,0.10256410256410256,78,0.0641025641025641,78,0.07692307692307693,78,0.01282051282051282
breadth_new_high60,3,5,76,0.004043126684636119,0.005305375738812271,0.006741573033707865,76,-0.03130461604936294,-0.0404406664162524,76,0.07761940873046907,0.0451560634487463,76,-0.06397074071912658,-0.06080666914705605,53,0.005421113038356085,-0.0186757215619693,26,0.01984116672049531,-0.0029499837912978504,6,0.13880638626535333,0.09927565113417784,76,0.013157894736842105,76,0.0,76,0.11842105263157894,76,0.0
breadth_new_high60,4,5,77,0.006779661016949152,0.00963855421686747,0.011135857461024499,77,0.02552155604773579,-0.0251304251304251,77,0.17010324940718807,0.0656883298392732,77,-0.0612944773872686,-0.0567644276253547,60,0.018847306077302638,0.00027384020618565017,41,0.05045174384059292,0.0187611673615248,25,0.16606560250332236,0.0696798493408663,77,0.12987012987012986,77,0.025974025974025976,77,0.11688311688311688,77,0.0
breadth_new_high60,5,5,78,0.011472275334608031,0.020849630595393305,0.11949685534591195,78,0.11803371881652505,0.00669804940698835,78,0.3250012685662564,0.1686650860300682,78,-0.06088208420707597,-0.043664021265057,70,0.10095548757149476,0.02592142605911395,60,0.1037364621142267,0.0602535635491995,35,0.27327729038581233,0.1595361855257895,78,0.20512820512820512,78,0.08974358974358974,78,0.15384615384615385,78,0.01282051282051282
