baseline_block,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,canonical_exit_reason,round_trip_return,realized_pnl,capital,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,giveback_from_peak,return_5d,return_10d,return_20d,entry_rs_score,entry_mom20,entry_mom60,entry_mom120,entry_box_width,entry_vol_ratio,entry_minvol_location,entry_minimum_volume_ratio,entry_breakout_volume_ratio,pnl_bucket
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300009.SZ-001,300009.SZ,2025-05-29,2025-05-30,2025-06-18,2025-06-19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.05674814463320388,-9030.216999999982,159127.96899999998,13,0.06159014557670783,-0.0593505039193728,9,12,0.08138420286388715,-0.006718924972004547,0.002239641657334701,,0.6034435261707989,0.1437659033078882,0.07279236276849654,0.02978235967926679,0.174731182795699,0.7986187557110409,0.26136363636363663,0.3818591521092329,1.586060524151023,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300003.SZ-002,300003.SZ,2025-06-04,2025-06-05,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.04605185878127513,-7585.319000000001,164712.548,12,0.05409356725146197,-0.07163742690058483,8,2,0.05628577690993017,-0.020467836257309857,-0.029970760233918092,,0.8073627844712183,0.23663453111305865,0.20908311910882604,0.16131687242798343,0.1410748560460653,0.7042134088040113,0.3888888888888888,0.5511726938662267,16.680114687888807,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300138.SZ-001,300138.SZ,2025-06-18,2025-06-19,2025-06-20,2025-06-23,MARKET_MA20_X2,0.008895386729139934,1304.4150000000081,146639.493,2,0.07388748950461799,-0.017632241813602123,1,0,0.019652052397644212,,,,0.8269736842105263,0.061170212765957466,0.28848223896663105,0.2680084745762714,0.15014436958614064,0.7923312870875594,0.33913043478260807,0.5036458981894809,1.1747899304353935,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300254.SZ-001,300254.SZ,2025-06-03,2025-06-04,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.0532844642362475,-8927.138999999963,167537.36999999997,13,0.13809523809523805,-0.11142857142857143,7,12,0.1151892261410094,-0.011428571428571344,0.030476190476190546,,0.7188679245283018,0.182648401826484,0.1187904967602591,0.09862142099681859,0.19593787335722834,0.7892624728561382,0.06716417910447751,0.3812698666864372,2.77116949694712,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300440.SZ-001,300440.SZ,2025-06-16,2025-06-17,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.028302280557385345,-4384.441000000017,154914.76,4,0.020754716981132182,-0.037735849056603765,3,0,0.011321148481913651,,,,0.8357050452781372,0.21270781143247564,0.21132848043676078,0.2252646111366774,0.1386634844868735,0.45054826561155314,0.07745266781411354,0.3704634065316903,4.598598435992873,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300748.SZ-001,300748.SZ,2025-06-11,2025-06-12,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.08654859791061568,-13381.837999999989,154616.462,7,0.05899459908599902,-0.08226007478188613,0,7,0.09568860621971413,-0.0382218529289573,,,0.7378523489932886,0.14947468958930288,0.10819521178637204,0.16392649903288214,0.1656217345872517,0.7720709759730766,0.0,0.2578799699320566,3.6946715808452852,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300770.SZ-002,300770.SZ,2025-06-09,2025-06-10,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.054196087595230896,-8270.943999999989,152611.459,9,0.0757649344341913,-0.051724137931034586,0,9,0.09766379036356501,-0.00412821758135018,,,0.5962516733601071,0.06439885743962592,0.08039008961518168,0.0088604479448684,0.14696755994358246,0.5749055907811732,0.0,0.41690999897304504,1.694942823712291,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300987.SZ-001,300987.SZ,2025-06-12,2025-06-13,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.1588342614720762,-26436.418000000005,166440.274,6,0.08995910949568353,-0.162199000454339,0,6,0.15292785529306657,-0.06815084052703313,,,0.8399732620320857,0.3146496815286626,0.286783042394015,0.1909982688978651,0.17888965044551064,0.4803234429482455,0.2978723404255324,0.5375579942049683,7.289068910056242,SEVERE_LOSS_NEG10_TO_NEG20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301048.SZ-001,301048.SZ,2025-06-10,2025-06-11,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.06554463343591749,-10500.909000000012,160210.05,8,0.025664527956003713,-0.0678276810265811,0,8,0.0774603071297763,0.01191567369385882,,,0.724331550802139,0.052182163187855846,0.2106986899563319,0.07565470417070808,0.19934282584884966,0.5123437191730872,0.0,0.45211090723570985,2.3319668051945075,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301052.SZ-001,301052.SZ,2025-06-10,2025-06-11,2025-06-20,2025-06-23,MARKET_MA20_X2,-0.041564197929625166,-6251.557000000001,150407.257,8,0.09578921447919231,-0.05195764590002461,1,7,0.10509534789268847,0.008864811622752988,,,0.8776737967914439,0.1503904609958855,0.36876810870216814,0.3237994009083003,0.19274411664127844,0.722104269955112,0.3168212847890779,0.46097369070443023,2.1744765359706797,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301141.SZ-001,301141.SZ,2025-06-04,2025-06-05,2025-06-20,2025-06-23,MARKET_MA20_X2,0.34269352956241406,52587.453,153453.30000000002,12,0.728780487804878,-0.017073170731707332,5,1,0.3190137875107566,0.6102439024390243,0.4024390243902438,,0.5642570281124497,0.06524531209863849,0.04169806581260982,-0.02812280290602298,0.11976711948988084,0.6965481818115419,0.21990740740740805,0.37490377090298743,3.2497306494105325,TOP_WINNER_20_TO_50
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300863.SZ-001,300863.SZ,2025-06-23,2025-06-24,2025-07-16,2025-07-17,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.007471252152103223,1066.451000000001,142740.598,17,0.12392179413456006,-0.0034502587694078546,5,0,0.1006368559560049,0.10810810810810811,0.03191489361702127,,0.5691709844559586,0.08247743541861174,0.0039587628865978,0.06897914379802406,0.113954028325981,0.6367420687965036,0.10661764705882312,0.5620337125610835,1.1429034788029162,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301238.SZ-001,301238.SZ,2025-06-23,2025-06-24,2025-07-16,2025-07-17,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.05054098621044216,-7254.8249999999825,143543.4,17,0.061715481171548126,-0.06014644351464449,2,15,0.08453680211002361,0.0052301255230124966,-0.023012552301255318,,0.6637305699481865,0.1292798110979929,0.02354200107009108,0.18305504019789742,0.14169278996865176,0.598064989475651,0.0,0.4430895263100228,3.3070967847521153,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300479.SZ-002,300479.SZ,2025-06-23,2025-06-24,2025-07-23,2025-07-24,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.032818471361718574,-4806.0779999999795,146444.29799999998,22,0.06927010692701052,-0.030683403068340276,2,22,0.08581707666157891,0.026034402603440254,-0.00557880055788007,0.00790330079032997,0.5275906735751296,0.11621900826446274,0.006052141527001842,-0.04040852575488452,0.14605543710021318,0.6578964388822627,0.19913419913419808,0.45487327920264253,1.4187888136783724,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300801.SZ-001,300801.SZ,2025-06-23,2025-06-24,2025-07-24,2025-07-25,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.024521121462418645,4022.8590000000186,164056.89299999998,23,0.3678665496049165,-0.02546093064091315,1,0,0.34334542814249785,0.2194907813871818,0.07726075504828778,0.016242317822651398,0.895077720207254,0.37396825396825406,0.34828660436137104,0.304400241109102,0.17997382198952883,0.6305787129534812,0.11440677966101671,0.38265097156846944,8.014416023988458,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300072.SZ-001,300072.SZ,2025-06-23,2025-06-24,2025-07-30,2025-07-31,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.05047526951895838,-7591.18999999999,150394.244,27,0.06043956043956045,-0.07417582417582413,12,9,0.08069504973873849,-0.030219780219780334,-0.05769230769230771,-0.02472527472527486,0.6617875647668393,0.2533783783783783,0.14860681114551078,-0.07940446650124078,0.1484098939929328,0.6336509866042394,0.13793103448275873,0.5069735919593028,6.680488481619824,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300138.SZ-002,300138.SZ,2025-06-24,2025-06-25,2025-08-08,2025-08-11,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.061592993490077304,9590.001000000004,155699.544,33,0.15713134568896048,-0.03867848509266725,10,1,0.05202505646963262,0.03706688154713933,0.11361804995970992,0.06285253827558424,0.8568501920614597,0.1439114391143912,0.29707112970711314,0.38238573021181743,0.14915572232645413,0.7080155018125728,0.2689655172413786,0.5100318614521373,0.8638247577559011,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300267.SZ-001,300267.SZ,2025-07-16,2025-07-17,2025-08-28,2025-08-29,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.12989393547302855,21329.23900000001,164205.041,31,0.3919308357348703,-0.025936599423631246,9,1,0.2216910789361933,-0.01729106628242072,0.28818443804034577,0.18155619596541772,0.7923433874709978,0.10476190476190483,0.46835443037974667,0.30827067669172914,0.13531353135313529,0.5570237771732415,0.26829268292682995,0.4451538831622482,1.7745118273595675,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301096.SZ-001,301096.SZ,2025-07-30,2025-07-31,2025-08-28,2025-08-29,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.027682230986636996,4150.94500000002,149949.8,21,0.30859813084112164,-0.016448598130841208,12,0,0.16689720826569934,0.11738317757009353,0.11308411214953273,0.024299065420560595,0.9016538037486218,0.23122039251071502,0.5661406025824962,0.5866279069767442,0.19971604353999073,0.773219255057612,0.10426540284360214,0.5674661002042973,3.141140558186223,ORDINARY_WINNER_0_TO_20
