decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2023-07-25 15:00:00,13,0,0,1,13,1,0
2023-08-01 00:00:00,0,0,0,0,0,0,2
2023-08-29 15:00:00,0,2,0,0,0,0,0
2023-09-01 15:00:00,0,1,0,0,0,0,0
2023-09-04 15:00:00,0,0,0,1,0,1,0
2023-09-07 00:00:00,0,0,0,0,0,0,1
2023-09-22 15:00:00,3,0,0,0,2,0,0
2023-09-27 15:00:00,0,0,1,0,0,0,0
2023-09-28 15:00:00,0,0,1,0,0,0,0
2023-10-10 15:00:00,0,0,1,0,0,0,0
2023-10-12 15:00:00,0,0,1,0,0,0,0
2023-10-25 15:00:00,0,0,0,1,0,1,0
2023-11-03 15:00:00,0,0,3,1,0,1,0
2023-11-13 15:00:00,9,0,0,0,9,0,0
2023-11-14 15:00:00,15,0,0,0,10,0,0
2023-11-15 15:00:00,14,0,0,0,12,0,0
2023-11-16 00:00:00,0,0,0,0,0,0,1
2023-11-17 15:00:00,15,0,0,0,16,0,0
2023-11-20 15:00:00,2,0,0,0,5,0,0
2023-11-21 15:00:00,1,0,0,0,0,0,0
2023-11-22 15:00:00,1,0,0,0,0,0,0
2024-01-25 15:00:00,0,0,0,0,0,1,0
2024-02-06 15:00:00,0,0,0,0,0,1,0
2024-02-08 15:00:00,0,0,0,0,0,1,0
2024-02-20 15:00:00,0,0,0,0,0,2,0
2024-02-21 15:00:00,0,0,0,0,0,12,0
2024-02-22 15:00:00,0,0,20,0,0,13,0
2024-02-23 15:00:00,0,0,20,0,0,13,0
2024-02-26 15:00:00,0,0,20,0,0,0,0
2024-03-07 15:00:00,1,0,0,0,0,0,0
2024-03-08 15:00:00,1,0,0,0,0,0,0
2024-03-11 15:00:00,11,0,0,0,3,0,0
2024-03-12 15:00:00,8,0,0,0,5,0,0
2024-03-13 15:00:00,2,0,0,0,0,0,0
2024-03-21 15:00:00,4,0,0,0,4,0,0
2024-04-01 15:00:00,4,0,0,0,4,0,0
