scope,strategy,gap,mcb_mode,period,from_target,to_target,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_average_gross_exposure,delta_capital_days,delta_net_pnl,incremental_pnl_per_added_capital_day,capital_day_denominator_status,incremental_CAGR_per_incremental_MaxDD,drawdown_denominator_status
SINGLE,OGR,OGR,independent,2022_2023,G50,G75,0.026920634690304097,0.06424953748697679,-0.008507100781954803,0.0982045160933305,87271399.67454144,64030.20799217885,0.0007336906275247646,DEFINED,0.4190012215381448,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G75,G100,0.0250609090138863,0.06193572982293291,-0.008597774045848695,0.09897339894817136,89070052.39624187,61049.98033465096,0.0006854153409842031,DEFINED,0.40462765330339273,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,G25,-0.0345325906636309,-0.06755072803919311,0.0090349782712511,-0.09433585539445419,-159257016.64787692,-156439.18197589624,,NEGATIVE_DENOMINATOR,,NEGATIVE_DENOMINATOR
SINGLE,SMV6,OGR,independent,2018_2021,G25,G50,0.016481737195909,0.0204375671410925,-0.0036015456142033005,0.042091055297690506,67734016.80807835,72727.13388252212,0.0010737165357931093,DEFINED,0.8064432073605392,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G50,G75,0.015924385777835198,0.022676987883929106,-0.0034745692701288,0.03940050993878219,68932725.17101935,73625.20645817203,0.0010680733465202605,DEFINED,0.7022266739896531,DEFINED
SINGLE,SMV6,OGR,independent,2018_2021,G75,G100,0.013916577177553,0.019976800287490493,-0.0032368607334967003,0.0347394367339226,65015154.441532135,67124.81923827415,0.0010324488162008327,DEFINED,0.6966369477231839,DEFINED
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,G25,-0.0369813346581485,-0.05364551662943659,0.008894196224599499,-0.0839562225498134,-68919718.28247909,-76290.31122376559,,NEGATIVE_DENOMINATOR,,NEGATIVE_DENOMINATOR
SINGLE,SMV6,OGR,independent,2022_2023,G25,G50,0.0149652434487899,0.0223530152387718,-0.0036974627612792006,0.035728349581856,28220607.0204642,30543.627991447225,0.001082316477788677,DEFINED,0.6694955149868261,DEFINED
SINGLE,SMV6,OGR,independent,2022_2023,G50,G75,0.008858674688165195,0.022610871810176195,-0.0035627986987434995,0.0330514342724199,26912133.473095752,18290.905790373683,0.0006796527599218111,DEFINED,0.3917882849691042,DEFINED
SINGLE,SMV6,OGR,independent,2022_2023,G75,G100,0.008740170227818402,0.01846394506773011,-0.0034392904558773994,0.030056510240831114,25486217.933366552,18199.71773926518,0.0007141003732624491,DEFINED,0.4733641806102322,DEFINED
