split,stage_order,predicate_or_cumulative_stage,wave_n,wave_pass,wave_pass_rate,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_pass,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,wave_minus_control,enrichment_rate_ratio,wave_incremental_pass_rate,control_incremental_acceptance,incremental_enrichment,precision_in_balanced_matched_sample,wave_recall
holdout,0,frozen_research_valid,415,410,0.9879518072289156,0.9721099354786422,0.9948430522707876,0.9736177884615385,1.0,415,407,0.980722891566265,0.96242742343496,0.9902003348663301,0.9652256504720239,0.9952043844313581,0.0072289156626506035,1.0073710073710074,,,,0.5018359853121175,0.9879518072289156
holdout,1,current_canonical_base_exists,415,134,0.3228915662650602,0.27970683427154364,0.36932504424903356,0.2750180096192555,0.3708427656400807,415,147,0.3542168674698795,0.3097306550244764,0.4013772177713729,0.3061689797163337,0.3948713229793219,-0.0313253012048193,0.91156462585034,,,,0.47686832740213525,0.3228915662650602
holdout,2,current_strict_temporal_valid,415,118,0.28433734939759037,0.24306901105029585,0.3295616437468697,0.242640187618389,0.3317589552846948,415,130,0.3132530120481928,0.2705137264633527,0.3594178461263716,0.27092543700712673,0.37284079750672416,-0.028915662650602414,0.9076923076923077,,,,0.47580645161290325,0.28433734939759037
holdout,3,not_ensemble_peak_ambiguous,415,140,0.3373493975903614,0.29353669465443677,0.3841456427624199,0.2868014705882353,0.38985800407632043,415,155,0.37349397590361444,0.32831340736555725,0.4209950772919979,0.3223229946904333,0.4216510522700692,-0.03614457831325302,0.9032258064516129,,,,0.4745762711864407,0.3373493975903614
holdout,4,actual:authoritative_observation,415,415,1.0,0.9908283701629962,1.0,1.0,1.0,415,415,1.0,0.9908283701629962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
holdout,5,actual:corporate_action_clear,415,415,1.0,0.9908283701629962,1.0,1.0,1.0,415,415,1.0,0.9908283701629962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
holdout,6,actual:lifecycle_hard_valid,415,88,0.21204819277108433,0.17545392582290628,0.25392443449286217,0.16745049504950496,0.25238183802013586,415,107,0.25783132530120484,0.21810047815023842,0.30200433533708154,0.21647164368743668,0.3026092982158851,-0.04578313253012051,0.8224299065420559,0.21204819277108433,0.25783132530120484,0.8224299065420559,0.4512820512820513,0.21204819277108433
holdout,7,actual:peak_identity_valid,415,88,0.21204819277108433,0.17545392582290628,0.25392443449286217,0.1704324135343475,0.2570062414849144,415,107,0.25783132530120484,0.21810047815023842,0.30200433533708154,0.2126921352345081,0.314366190860939,-0.04578313253012051,0.8224299065420559,1.0,1.0,1.0,0.4512820512820513,0.21204819277108433
holdout,8,actual:tradable,415,88,0.21204819277108433,0.17545392582290628,0.25392443449286217,0.1705118041404922,0.2529563430521092,415,105,0.25301204819277107,0.21358150812233162,0.29697315239956185,0.20829506021637068,0.30309349138086805,-0.040963855421686735,0.8380952380952381,1.0,0.9813084112149533,1.019047619047619,0.45595854922279794,0.21204819277108433
holdout,9,actual:neutral_or_broken_and_no_cooldown_setup_score_evaluated,415,88,0.21204819277108433,0.17545392582290628,0.25392443449286217,0.17458190394511147,0.2537174124370341,415,105,0.25301204819277107,0.21358150812233162,0.29697315239956185,0.2083112457402499,0.2968568148754318,-0.040963855421686735,0.8380952380952381,1.0,1.0,1.0,0.45595854922279794,0.21204819277108433
holdout,10,actual:setup_score_ge_1_00,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,0.0,,0.0,0.0,,,0.0
holdout,11,actual:setup_created,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,0.0,,,,,,0.0
