scenario,year,net_return,mean_exposure,fees
N_EXIT_N4_CAP10,2021,0.10026874796844876,0.7457951730421659,25100.531415199934
N_EXIT_N4_CAP10,2022,-0.31837144335112233,0.5119037787258534,17652.9788078
N_EXIT_N4_CAP10,2023,-0.21911728669790842,0.6598751522047351,15632.571234000032
N_EXIT_N9_MAX_DEPLOYABLE,2020,-0.1461129575168001,0.7178945681833548,30491.877516799996
N_EXIT_N9_MAX_DEPLOYABLE,2021,0.06497707749522563,0.6943283324931001,21668.549308400037
N_EXIT_N9_MAX_DEPLOYABLE,2022,-0.31907409340276016,0.46158884184528665,18422.738444799994
N_EXIT_N9_MAX_DEPLOYABLE,2023,-0.17365904211821726,0.6454642449737525,14594.724217499941
N_EXIT_N9_CAP10,2020,-0.2186016587464017,0.6386115635014457,24635.7687464
N_EXIT_N9_CAP10,2021,0.17958532893948886,0.6235963378258088,20681.025693199965
N_EXIT_N9_CAP10,2022,-0.26433378322573,0.33983954931883437,12770.110205699952
N_EXIT_N9_CAP10,2023,-0.16436820884388792,0.540831817155521,14134.997794199924
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,2020,0.38181056522279677,0.8065686443731604,38503.54477719999
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,2021,0.03664638504586426,0.8341759807052161,39921.36180640005
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,2022,-0.505199719714381,0.759392708247599,29133.551355099975
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,2023,-0.29286498128825866,0.8343515673761768,17715.508255400127
INDUSTRY_N4_MATCH_CAP10,2020,0.05518700360040052,0.7444268082638533,29842.326399600006
INDUSTRY_N4_MATCH_CAP10,2021,0.007788614999955312,0.7618285230739683,28247.068515999996
INDUSTRY_N4_MATCH_CAP10,2022,-0.34160971524815475,0.5823810765838057,19028.545400399977
INDUSTRY_N4_MATCH_CAP10,2023,-0.17421713340651934,0.7406639880469705,16918.79669120007
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,2020,0.522176449348003,0.8024608224924159,41233.94065200003
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,2021,0.14083007968006656,0.821524037551584,45411.29148719992
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,2022,-0.4650840036772831,0.7425668285474415,36566.73473740011
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,2023,-0.3653475164906522,0.8385389704125449,22797.288816799875
INDUSTRY_N4_PLUS_CAP10,2020,0.1620126906376007,0.7349949824946377,32431.839362400002
INDUSTRY_N4_PLUS_CAP10,2021,0.06646645435207632,0.764602244346704,32242.475661200013
INDUSTRY_N4_PLUS_CAP10,2022,-0.33829383512528466,0.5791277993468342,22280.58574489998
INDUSTRY_N4_PLUS_CAP10,2023,-0.09495805319720818,0.7468115884679788,20862.3636287001
