source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
157,partial_rank,,phase,4,SH_A,NON_ST,pit,5,,166,-0.091755306392921246,-0.091755306392921204,4.163336342344337e-17,True
158,partial_rank,,phase,4,SZ_A,ALL_STATUS,pit,5,,166,-0.098884775402156663,-0.098884775402156594,6.9388939039072284e-17,True
159,partial_rank,,phase,4,SZ_A,NON_ST,pit,5,,166,-0.1069159445757783,-0.1069159445757783,0,True
160,partial_rank,,year,2020,ALL_A,ALL_STATUS,pit,3,,107,-0.26256316161518739,-0.26256316161518728,1.1102230246251565e-16,True
161,partial_rank,,year,2020,ALL_A,NON_ST,pit,3,,107,-0.2567750032734486,-0.2567750032734486,0,True
162,partial_rank,,year,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,,107,-0.11589828853462183,-0.11589828853462179,4.163336342344337e-17,True
163,partial_rank,,year,2020,CHINEXT_BOARD,NON_ST,pit,3,,107,-0.11785463610969332,-0.1178546361096932,1.2490009027033011e-16,True
164,partial_rank,,year,2020,SH_A,ALL_STATUS,pit,3,,107,-0.12335513429097029,-0.12335513429097029,0,True
165,partial_rank,,year,2020,SH_A,NON_ST,pit,3,,107,-0.11225870032882841,-0.1122587003288284,1.3877787807814457e-17,True
166,partial_rank,,year,2020,SZ_A,ALL_STATUS,pit,3,,107,-0.18979791681634442,-0.18979791681634439,2.7755575615628914e-17,True
167,partial_rank,,year,2020,SZ_A,NON_ST,pit,3,,107,-0.18440290116721428,-0.18440290116721419,8.3266726846886741e-17,True
168,partial_rank,,year,2021,ALL_A,ALL_STATUS,pit,3,,243,-0.02295630671935954,-0.022956306719359498,4.163336342344337e-17,True
169,partial_rank,,year,2021,ALL_A,NON_ST,pit,3,,243,-0.026816395580522359,-0.0268163955805223,5.8980598183211441e-17,True
170,partial_rank,,year,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,,242,-0.01000355446662222,-0.010003554466622201,1.9081958235744878e-17,True
171,partial_rank,,year,2021,CHINEXT_BOARD,NON_ST,pit,3,,243,-0.0048205035197972125,-0.0048205035197972004,1.214306433183765e-17,True
172,partial_rank,,year,2021,SH_A,ALL_STATUS,pit,3,,243,-0.075845826035080458,-0.075845826035080402,5.5511151231257827e-17,True
173,partial_rank,,year,2021,SH_A,NON_ST,pit,3,,243,-0.077112017170182651,-0.077112017170182706,5.5511151231257827e-17,True
174,partial_rank,,year,2021,SZ_A,ALL_STATUS,pit,3,,243,0.0022604670633249715,0.0022604670633249,7.1557343384043293e-17,True
175,partial_rank,,year,2021,SZ_A,NON_ST,pit,3,,243,-0.010014949881491748,-0.010014949881491699,4.8572257327350599e-17,True
176,partial_rank,,year,2022,ALL_A,ALL_STATUS,pit,3,,242,-0.071895983756562656,-0.071895983756562601,5.5511151231257827e-17,True
177,partial_rank,,year,2022,ALL_A,NON_ST,pit,3,,242,-0.078731576449493926,-0.078731576449493801,1.2490009027033011e-16,True
178,partial_rank,,year,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,,242,-0.074349196932276027,-0.074349196932276096,6.9388939039072284e-17,True
