symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600079.SH,2026-09-07,0.0,0.0,0.0
600079.SH,2026-09-08,0.0,0.0,0.0
600079.SH,2026-09-09,0.0,0.0,6.675895266918056e-09
600079.SH,2026-09-10,0.0,0.0,0.0
600079.SH,2026-09-11,0.0,0.0,0.0
600079.SH,2026-09-14,0.0,0.0,0.0
600079.SH,2026-09-15,0.0,0.0,0.0
600079.SH,2026-09-16,0.0,6.602180964459799e-07,3.949217934158621e-09
600080.SH,2026-09-07,0.0,0.0,0.0
600080.SH,2026-09-08,0.0,3.345263658627887e-07,2.0742493791719422e-08
600080.SH,2026-09-09,0.0,0.0,7.562043365918772e-08
600080.SH,2026-09-10,0.0,0.0,0.0
600080.SH,2026-09-11,0.0,0.0,0.0
600080.SH,2026-09-14,0.0,0.0,1.7359680860553276e-16
600080.SH,2026-09-15,0.0,0.0,8.651890925807225e-08
600080.SH,2026-09-16,0.0,1.807417123469828e-05,4.034252471119551e-08
600081.SH,2026-09-07,0.0,1.777540085461036e-05,1.4773685330787022e-09
600081.SH,2026-09-08,0.0,1.6093600379808968e-05,7.6988892664188e-09
600081.SH,2026-09-09,0.0,1.0094310549682712e-05,7.396098216512014e-09
