variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
P1_TEMPORAL_CONFIRMATION,holdout_calendar_subperiod,NOV_DEC,359,-0.008392594034276162,0.7344036443833362,0.2757660167130919,-0.07695464550965164,-0.03938505507840947,0.0010329338576816512,0.017113428064530534,0.2366059897811771
P1_TEMPORAL_CONFIRMATION,pit_volatility_regime,LOW_VOL,838,0.0035579007567234605,1.1541290701056004,0.3424821002386635,-0.06321401578496116,-0.03068360455878492,-0.00024159645313104718,-0.009804912480216865,0.1212119101693166
P1_TEMPORAL_CONFIRMATION,pit_volatility_regime,MID_VOL,588,0.005909792756869638,1.2235052803092015,0.3673469387755102,-0.08109424296536022,-0.0363672497899046,-0.006121762313880994,-0.24374613482431573,0.12954383648818585
P1_TEMPORAL_CONFIRMATION,pit_volatility_regime,HIGH_VOL,506,-0.00801958479179185,0.789658226605539,0.2885375494071146,-0.10321831178257926,-0.05219966495166067,0.0009851822334771727,0.012565396545175966,0.1654856271414786
P2_CANONICAL_PERSISTENCE,chronological_split,discovery,138,0.005107734326015568,1.2814258966028402,0.3695652173913043,-0.05436081808026366,-0.02613400432632956,-0.000996961310918424,0.015381163232534467,0.3486998531250669
P2_CANONICAL_PERSISTENCE,chronological_split,validation,214,0.022583760555271663,1.959438042756828,0.42990654205607476,-0.08288552566945002,-0.03528722932628388,0.0084395748293334,0.4632540070233082,0.24370734298001898
P2_CANONICAL_PERSISTENCE,chronological_split,holdout,233,-0.015711541130410053,0.518992767444798,0.2017167381974249,-0.07324643606959007,-0.040507395968313355,-0.001918279526859622,-0.08439382099664483,0.4459299137380608
P2_CANONICAL_PERSISTENCE,symbol_subset,HASH_BUCKET_A,274,0.004715914026023281,1.1796740058859425,0.354014598540146,-0.07719271043445164,-0.035334407246047486,0.005124127520316287,0.19291458330011213,0.22041849795005142
P2_CANONICAL_PERSISTENCE,symbol_subset,HASH_BUCKET_B,311,0.0018805227308757672,1.0734648058551004,0.2990353697749196,-0.07280821989760872,-0.035095033273499124,-0.002754897738874342,-0.09087733003926135,0.28147886950757034
P2_CANONICAL_PERSISTENCE,holdout_calendar_subperiod,SEP_OCT,118,-0.021061223081042073,0.40769343286262893,0.1440677966101695,-0.0797626465928409,-0.04393185189151679,-0.003132554027153952,-0.09620049449248103,0.7379640965196494
P2_CANONICAL_PERSISTENCE,holdout_calendar_subperiod,NOV_DEC,115,-0.010222302259326759,0.6557474538391452,0.2608695652173913,-0.06733418136646577,-0.036993606412330696,-0.0007967743673689461,-0.061542762479660396,0.47819639950806797
P2_CANONICAL_PERSISTENCE,pit_volatility_regime,LOW_VOL,315,0.0034611972648839412,1.1517836608465344,0.3142857142857143,-0.059157149804933085,-0.030168259139114133,-0.00033829994497056644,-0.012150321739282877,0.2787687924582654
P2_CANONICAL_PERSISTENCE,pit_volatility_regime,MID_VOL,164,0.005372154007170426,1.204515671886714,0.35365853658536583,-0.07801340020826501,-0.03532296704588516,-0.006659401063580206,-0.26273574324680316,0.27992681823817817
P2_CANONICAL_PERSISTENCE,pit_volatility_regime,HIGH_VOL,106,-0.000889692294166502,0.9742438424539357,0.3113207547169811,-0.09379776216460645,-0.05000202555782189,0.008115074731102522,0.1971510123935727,0.4730002124757351
P3_MASS_PROMINENCE,chronological_split,discovery,44,3.878783393373745e-05,1.0022849085301406,0.38636363636363635,-0.052399486885541004,-0.025534111055287953,-0.0060659078030002546,-0.26375982484016514,0.6286194073332139
P3_MASS_PROMINENCE,chronological_split,validation,63,0.014983300702633076,1.6878326904014314,0.4444444444444444,-0.07341678150254567,-0.031271005103477315,0.0008391149766948137,0.19164865466791148,0.4301784634007244
P3_MASS_PROMINENCE,chronological_split,holdout,90,-0.012847321740786623,0.5770527958400793,0.2111111111111111,-0.06696282907001216,-0.03649305488123049,0.0009459398627638081,-0.026333792601363593,0.6371821885454589
P3_MASS_PROMINENCE,symbol_subset,HASH_BUCKET_A,98,0.0044625941362461,1.1890206755877868,0.35714285714285715,-0.06609130403508974,-0.03198405659395147,0.004870807630539106,0.2022612530019564,0.4960046329062493
P3_MASS_PROMINENCE,symbol_subset,HASH_BUCKET_B,99,-0.006544834071352983,0.7448467587352314,0.29292929292929293,-0.07341211863806564,-0.03276274344500243,-0.011180254541103092,-0.4194953771591303,0.4304496384953288
P3_MASS_PROMINENCE,holdout_calendar_subperiod,SEP_OCT,52,-0.01572855727010434,0.5263547718225002,0.1346153846153846,-0.06952623697840692,-0.03844685718069308,0.002200111783783782,0.022460844467390273,0.9805097175475287
P3_MASS_PROMINENCE,holdout_calendar_subperiod,NOV_DEC,38,-0.008904578384878167,0.6639867674520423,0.3157894736842105,-0.06429998466453926,-0.03381943068196586,0.0005209495070796454,-0.0533034488667633,0.6300441941861487
P3_MASS_PROMINENCE,pit_volatility_regime,LOW_VOL,119,-0.0033853744210105567,0.8554835334949671,0.3025210084033613,-0.0577702070202931,-0.029548160257901062,-0.007184871630865064,-0.3084504490908502,0.4837923199765701
P3_MASS_PROMINENCE,pit_volatility_regime,MID_VOL,51,0.021678806075521292,2.200827868218267,0.43137254901960786,-0.07313096142547182,-0.028728804155747464,0.00964725100477066,0.7335764530847497,0.47989280345443863
P3_MASS_PROMINENCE,pit_volatility_regime,HIGH_VOL,27,-0.0338282926467836,0.20212270952807632,0.2222222222222222,-0.09312985799514206,-0.051724039430708794,-0.02482352562151458,-0.5749701205322867,0.9941009152120927
