target,split,lead_trading_sessions,feature,winner_total,winner_available,nonwinner_total,nonwinner_available,winner_median,nonwinner_median,auc_winner_higher
up20_20,holdout,20,concentration_20,307,307,450,449,0.6418907096,0.7001388653,0.3908141872
up20_20,holdout,20,ensemble_ambiguity,307,307,450,450,1,1,0.5338002172
up20_20,holdout,20,p50_rel_price,307,307,450,449,0.03923367368,0.03871885704,0.5065872043
up20_20,holdout,20,peak_band_width_rel_price,307,90,450,169,0.08437047832,0.08384308054,0.5036160421
up20_20,holdout,20,peak_location_rel_price,307,90,450,169,0.02566911953,0.05460676836,0.4612097304
up20_20,holdout,20,peak_track_age,307,90,450,169,52,52,0.4665023011
up20_20,holdout,20,peak_track_mass,307,90,450,169,0.2512754501,0.2782573049,0.4735700197
up20_20,holdout,20,peak_track_prominence,307,90,450,169,0.01145081071,0.01327278761,0.4462195924
up20_20,holdout,20,profit_ratio,307,307,450,449,0.3420341476,0.3140319908,0.5229790414
up20_20,validation,1,average_cost_rel_price,383,383,327,325,0.1058926486,0.09003462542,0.5684193613
up20_20,validation,1,base_exists,383,383,327,327,0,0,0.4873803307
up20_20,validation,1,base_presence_20,383,383,327,327,0.15,0.25,0.4738663856
up20_20,validation,1,concentration_20,383,383,327,325,0.6609834199,0.6328450412,0.4981000201
up20_20,validation,1,ensemble_ambiguity,383,383,327,327,1,1,0.5189953769
up20_20,validation,1,p50_rel_price,383,383,327,325,0.08108503211,0.05151492417,0.5765495079
up20_20,validation,1,peak_band_width_rel_price,383,118,327,109,0.093784299,0.08928613973,0.5209143213
up20_20,validation,1,peak_location_rel_price,383,118,327,109,0.1773683426,0.1357385003,0.570440056
up20_20,validation,1,peak_track_age,383,118,327,109,61.5,68,0.4392007464
up20_20,validation,1,peak_track_mass,383,118,327,109,0.2268476935,0.1905488346,0.5210698181
up20_20,validation,1,peak_track_prominence,383,118,327,109,0.01103593411,0.01028473903,0.5303218784
up20_20,validation,1,profit_ratio,383,383,327,325,0.1268307878,0.2568064739,0.4107330789
up20_20,validation,5,average_cost_rel_price,383,383,327,325,0.06275160442,0.06966465309,0.5082466359
up20_20,validation,5,base_exists,383,383,327,327,0,0,0.495848005
up20_20,validation,5,base_presence_20,383,383,327,327,0.2,0.25,0.4674946703
up20_20,validation,5,concentration_20,383,383,327,325,0.6510923092,0.6385671695,0.4928539867
up20_20,validation,5,ensemble_ambiguity,383,383,327,327,1,1,0.5118331856
up20_20,validation,5,p50_rel_price,383,383,327,325,0.03595246704,0.04096427406,0.4999879494
up20_20,validation,5,peak_band_width_rel_price,383,128,327,112,0.09445758384,0.080507626,0.5335518973
up20_20,validation,5,peak_location_rel_price,383,128,327,112,0.122166329,0.08922452726,0.5409458705
up20_20,validation,5,peak_track_age,383,128,327,112,56.5,56.5,0.4637625558
up20_20,validation,5,peak_track_mass,383,128,327,112,0.2172256167,0.1914083712,0.5132533482
up20_20,validation,5,peak_track_prominence,383,128,327,112,0.010406589,0.01061984407,0.4879324777
up20_20,validation,5,profit_ratio,383,383,327,325,0.3198003658,0.3259948438,0.5096043382
up20_20,validation,10,average_cost_rel_price,383,383,327,325,0.05372304863,0.06660582341,0.5108817032
up20_20,validation,10,base_exists,383,383,327,327,0,0,0.4642209819
up20_20,validation,10,base_presence_20,383,383,327,327,0.2,0.25,0.4631470525
up20_20,validation,10,concentration_20,383,383,327,325,0.6438772097,0.640505433,0.4944928701
up20_20,validation,10,ensemble_ambiguity,383,383,327,327,1,1,0.5441309156
up20_20,validation,10,p50_rel_price,383,383,327,325,0.02764614722,0.03381789594,0.5044587267
up20_20,validation,10,peak_band_width_rel_price,383,119,327,125,0.09033578501,0.08734999577,0.5124033613
up20_20,validation,10,peak_location_rel_price,383,119,327,125,0.1285279808,0.07607114102,0.5518655462
up20_20,validation,10,peak_track_age,383,119,327,125,58,50,0.5168067227
up20_20,validation,10,peak_track_mass,383,119,327,125,0.2393320442,0.2287669794,0.5118655462
up20_20,validation,10,peak_track_prominence,383,119,327,125,0.01133455425,0.01097765004,0.5128739496
up20_20,validation,10,profit_ratio,383,383,327,325,0.3503757674,0.3350203885,0.505193814
up20_20,validation,20,average_cost_rel_price,383,383,327,325,0.08103300318,0.08701109802,0.5161197028
up20_20,validation,20,base_exists,383,383,327,327,0,0,0.4647040506
up20_20,validation,20,base_presence_20,383,383,327,327,0.2,0.3,0.4613984238
up20_20,validation,20,concentration_20,383,383,327,325,0.6317849608,0.6513915391,0.4723679454
up20_20,validation,20,ensemble_ambiguity,383,383,327,327,1,1,0.5412604499
up20_20,validation,20,p50_rel_price,383,383,327,325,0.05162236814,0.05953417271,0.5070415746
up20_20,validation,20,peak_band_width_rel_price,383,110,327,117,0.09441433,0.09192736482,0.5175602176
up20_20,validation,20,peak_location_rel_price,383,110,327,117,0.1622751303,0.1278923105,0.5397047397
up20_20,validation,20,peak_track_age,383,110,327,117,65,58,0.508974359
up20_20,validation,20,peak_track_mass,383,110,327,117,0.2376191176,0.2328000109,0.4978243978
up20_20,validation,20,peak_track_prominence,383,110,327,117,0.01099310379,0.01064945875,0.5034188034
up20_20,validation,20,profit_ratio,383,383,327,325,0.2723889174,0.2653674262,0.4754930709
up30_40,discovery,1,average_cost_rel_price,364,364,418,417,0.1941784053,0.1774884632,0.5373349672
up30_40,discovery,1,base_exists,364,364,418,418,0,0,0.4771675693
up30_40,discovery,1,base_presence_20,364,135,418,319,0.15,0.25,0.4752351097
up30_40,discovery,1,concentration_20,364,364,418,417,0.6688652991,0.6754048573,0.4944396131
up30_40,discovery,1,ensemble_ambiguity,364,364,418,418,1,1,0.5166281087
up30_40,discovery,1,p50_rel_price,364,364,418,417,0.1844887083,0.1555121433,0.5574024297
up30_40,discovery,1,peak_band_width_rel_price,364,114,418,150,0.104151182,0.0958061285,0.5330409357
up30_40,discovery,1,peak_location_rel_price,364,114,418,150,0.2386574826,0.2291998662,0.5565497076
up30_40,discovery,1,peak_track_age,364,114,418,150,48,54,0.4952046784
up30_40,discovery,1,peak_track_mass,364,114,418,150,0.2317289741,0.2439787223,0.4632748538
up30_40,discovery,1,peak_track_prominence,364,114,418,150,0.01128712807,0.01177354374,0.4512280702
up30_40,discovery,1,profit_ratio,364,364,418,417,0.03718678592,0.06203545251,0.4503979234
up30_40,discovery,5,average_cost_rel_price,337,337,404,403,0.06708435745,0.125515258,0.3702571957
up30_40,discovery,5,base_exists,337,337,404,404,0,0,0.4906829333
up30_40,discovery,5,base_presence_20,337,131,404,193,0.15,0.2,0.4853854369
up30_40,discovery,5,concentration_20,337,337,404,403,0.6801325819,0.6844044343,0.4931191141
