model,split,side,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
DISPOSITION,discovery,RESISTANCE,mfe_1,1,3300,1743,0.0256853794166,0.0246714022079,0.0270083342812
DISPOSITION,discovery,RESISTANCE,mae_1,1,3300,1743,-0.0203141718637,-0.0212193026521,-0.019473411067
DISPOSITION,discovery,RESISTANCE,cross_probability_1,1,3300,1743,0.0732644865175,0.0647322623829,0.0825525913177
DISPOSITION,discovery,RESISTANCE,future_return_3,3,3254,1727,0.00497491664848,0.00244144878118,0.00733231259668
DISPOSITION,discovery,RESISTANCE,mfe_3,3,3254,1727,0.0478986691822,0.0455653055969,0.0503374935651
DISPOSITION,discovery,RESISTANCE,mae_3,3,3254,1727,-0.036240513754,-0.0376454012778,-0.0348997562261
DISPOSITION,discovery,RESISTANCE,cross_probability_3,3,3254,1727,0.14478865084,0.13074671878,0.157652962749
DISPOSITION,discovery,RESISTANCE,future_return_5,5,3215,1715,-0.00448589567927,-0.00846199128901,-0.00109677030709
DISPOSITION,discovery,RESISTANCE,mfe_5,5,3215,1715,0.061349326861,0.0580935625641,0.0651164972483
DISPOSITION,discovery,RESISTANCE,mae_5,5,3215,1715,-0.0492098509928,-0.0510081089255,-0.0474033321571
DISPOSITION,discovery,RESISTANCE,cross_probability_5,5,3215,1715,0.190680272109,0.174696307094,0.204970602527
DISPOSITION,discovery,RESISTANCE,future_return_10,10,3095,1674,-0.0290946627543,-0.0333066437841,-0.0246604737061
DISPOSITION,discovery,RESISTANCE,mfe_10,10,3095,1674,0.0790375906473,0.07439719416,0.0839053564203
DISPOSITION,discovery,RESISTANCE,mae_10,10,3095,1674,-0.0814496235117,-0.0838673517135,-0.0786509800197
DISPOSITION,discovery,RESISTANCE,cross_probability_10,10,3095,1674,0.2418956591,0.224742881322,0.258486658702
DISPOSITION,discovery,RESISTANCE,future_return_20,20,2711,1542,-0.0376564766966,-0.0443189972244,-0.0306486965991
DISPOSITION,discovery,RESISTANCE,mfe_20,20,2711,1542,0.104240137421,0.0970802924875,0.112359301225
DISPOSITION,discovery,RESISTANCE,mae_20,20,2711,1542,-0.124589145034,-0.128538456656,-0.120959004367
DISPOSITION,discovery,RESISTANCE,cross_probability_20,20,2711,1542,0.315391266753,0.297333009079,0.33306204064
DISPOSITION,discovery,RESISTANCE,future_return_40,40,0,0,,,
DISPOSITION,discovery,RESISTANCE,mfe_40,40,0,0,,,
DISPOSITION,discovery,RESISTANCE,mae_40,40,0,0,,,
DISPOSITION,discovery,RESISTANCE,cross_probability_40,40,0,0,,,
DISPOSITION,discovery,SUPPORT,future_return_1,1,1629,995,-0.00774727310091,-0.00975278469523,-0.00572940720737
DISPOSITION,discovery,SUPPORT,mfe_1,1,1629,995,0.0139930868665,0.0119097941955,0.0161113804265
DISPOSITION,discovery,SUPPORT,mae_1,1,1629,995,-0.0350146158301,-0.0369025168364,-0.0330642891092
DISPOSITION,discovery,SUPPORT,cross_probability_1,1,1629,995,0.201751615219,0.181121081598,0.221029612347
DISPOSITION,discovery,SUPPORT,future_return_3,3,1626,994,0.00487952929782,0.000174578212322,0.00940710515823
DISPOSITION,discovery,SUPPORT,mfe_3,3,1626,994,0.0416281567908,0.0385255558806,0.0447394414865
DISPOSITION,discovery,SUPPORT,mae_3,3,1626,994,-0.0550143243414,-0.0578067840241,-0.0524011651736
DISPOSITION,discovery,SUPPORT,cross_probability_3,3,1626,994,0.301995305164,0.274941733736,0.326971411804
DISPOSITION,discovery,SUPPORT,future_return_5,5,1612,991,0.0173194935372,0.0117829450346,0.0228948314134
DISPOSITION,discovery,SUPPORT,mfe_5,5,1612,991,0.0638816514399,0.059164812583,0.0693763168545
DISPOSITION,discovery,SUPPORT,mae_5,5,1612,991,-0.0636199260752,-0.0671426459311,-0.0604543637939
DISPOSITION,discovery,SUPPORT,cross_probability_5,5,1612,991,0.340709240306,0.31547979434,0.367905014175
DISPOSITION,discovery,SUPPORT,future_return_10,10,1587,982,0.032122993151,0.0256880592425,0.0391599625898
DISPOSITION,discovery,SUPPORT,mfe_10,10,1587,982,0.0957374050073,0.0896222365544,0.102957255058
DISPOSITION,discovery,SUPPORT,mae_10,10,1587,982,-0.074842720985,-0.0785864172889,-0.0714632342905
DISPOSITION,discovery,SUPPORT,cross_probability_10,10,1587,982,0.407540490738,0.379060954321,0.434993696053
DISPOSITION,discovery,SUPPORT,future_return_20,20,1535,965,0.0517005512351,0.0420498569711,0.0628772695509
DISPOSITION,discovery,SUPPORT,mfe_20,20,1535,965,0.160769787741,0.150437501716,0.172912288591
DISPOSITION,discovery,SUPPORT,mae_20,20,1535,965,-0.0943343462369,-0.0996718236718,-0.0903908863427
DISPOSITION,discovery,SUPPORT,cross_probability_20,20,1535,965,0.511593881076,0.481907969405,0.535275660005
DISPOSITION,discovery,SUPPORT,future_return_40,40,0,0,,,
DISPOSITION,discovery,SUPPORT,mfe_40,40,0,0,,,
DISPOSITION,discovery,SUPPORT,mae_40,40,0,0,,,
DISPOSITION,discovery,SUPPORT,cross_probability_40,40,0,0,,,
DISPOSITION,holdout,RESISTANCE,future_return_1,1,2321,1309,0.0011445088963,-0.000109077190469,0.00258128489584
DISPOSITION,holdout,RESISTANCE,mfe_1,1,2321,1309,0.0222893494564,0.0211427263198,0.0235285335535
DISPOSITION,holdout,RESISTANCE,mae_1,1,2321,1309,-0.0201946866735,-0.021311976806,-0.0191323607688
DISPOSITION,holdout,RESISTANCE,cross_probability_1,1,2321,1309,0.0707282913165,0.059609434683,0.082374267889
DISPOSITION,holdout,RESISTANCE,future_return_3,3,2283,1300,-0.00767357122935,-0.0102567010605,-0.00508183500391
DISPOSITION,holdout,RESISTANCE,mfe_3,3,2283,1300,0.036971089049,0.0349621595298,0.0393969124567
DISPOSITION,holdout,RESISTANCE,mae_3,3,2283,1300,-0.0368989906159,-0.0385829042369,-0.0352354428074
DISPOSITION,holdout,RESISTANCE,cross_probability_3,3,2283,1300,0.115578754579,0.100631043956,0.129649862637
DISPOSITION,holdout,RESISTANCE,future_return_5,5,2247,1290,-0.0116846096499,-0.0151163361964,-0.00811063834514
DISPOSITION,holdout,RESISTANCE,mfe_5,5,2247,1290,0.0469704174369,0.0439739881259,0.0500034836759
DISPOSITION,holdout,RESISTANCE,mae_5,5,2247,1290,-0.0492914170113,-0.0517036738274,-0.0472262252581
DISPOSITION,holdout,RESISTANCE,cross_probability_5,5,2247,1290,0.146448874123,0.129588362865,0.163810169804
DISPOSITION,holdout,RESISTANCE,future_return_10,10,2116,1251,-0.0182640887392,-0.0229788111574,-0.0133832735629
DISPOSITION,holdout,RESISTANCE,mfe_10,10,2116,1251,0.0659318053331,0.0613098139606,0.0715535563762
DISPOSITION,holdout,RESISTANCE,mae_10,10,2116,1251,-0.0707498296589,-0.0736195836145,-0.0675757372021
DISPOSITION,holdout,RESISTANCE,cross_probability_10,10,2116,1251,0.216143275856,0.196674517529,0.23486829584
