model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,cross_probability_10,10,3,3,0.333333333333,0,1
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,future_return_20,20,3,3,0.00841738396374,-0.0248811609117,0.0606860158311
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,mae_20,20,3,3,-0.103640420693,-0.189973614776,-0.054892601432
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,cross_probability_20,20,3,3,0.333333333333,0,1
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,reaction_probability,3,501,501,0.383233532934,0.343313373253,0.423153692615
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,515,515,0.485436893204,0.444611650485,0.52432038835
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_5,5,496,496,-0.00395885815105,-0.0091181962051,0.00185595066685
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_5,5,496,496,-0.0433998001683,-0.0470001865589,-0.0396531055105
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_5,5,496,496,0.0786290322581,0.0564516129032,0.100856854839
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_10,10,469,469,-0.00496415621417,-0.011874835934,0.00196754875793
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_10,10,469,469,-0.0577522659377,-0.0620693313162,-0.0537150718121
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_10,10,469,469,0.123667377399,0.0958955223881,0.153518123667
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_20,20,415,415,-0.0088797252755,-0.0198835815126,0.00280674791588
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_20,20,415,415,-0.0822431276169,-0.0881880017371,-0.0762119500254
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_20,20,415,415,0.204819277108,0.168674698795,0.24578313253
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,reaction_probability,3,8,8,0.875,0.625,1
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,11,11,0.363636363636,0.0909090909091,0.636363636364
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_5,5,8,8,0.0160500252417,-0.0581716489297,0.114376095402
