model,split,migration_state,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_volatility_40,40,265,165,0.0308788781962,0.0294715113516,0.0324413063668
ACTIVE_STICKY,validation,DISPERSION,median_shift_fraction,0,23,22,0.00407228909465,-0.00393286657487,0.0124910381956
ACTIVE_STICKY,validation,DISPERSION,width_change_fraction,0,23,22,0.471608104123,0.355861695676,0.601987270211
ACTIVE_STICKY,validation,DISPERSION,future_return_5,5,23,22,0.0296776467396,0.00720972788241,0.0515023919757
ACTIVE_STICKY,validation,DISPERSION,mfe_5,5,23,22,0.080090583919,0.0536624150426,0.108102740826
ACTIVE_STICKY,validation,DISPERSION,mae_5,5,23,22,-0.0200544446809,-0.0308353747798,-0.00755473772515
ACTIVE_STICKY,validation,DISPERSION,future_volatility_5,5,23,22,0.0198599118173,0.0144601880992,0.0255068945875
ACTIVE_STICKY,validation,DISPERSION,future_return_10,10,23,22,0.0451769461383,0.0175383998755,0.0762245424445
ACTIVE_STICKY,validation,DISPERSION,mfe_10,10,23,22,0.102227639669,0.0715900142006,0.13771673289
ACTIVE_STICKY,validation,DISPERSION,mae_10,10,23,22,-0.0310675276024,-0.0452031777021,-0.0171805651315
ACTIVE_STICKY,validation,DISPERSION,future_volatility_10,10,23,22,0.0234061055595,0.0194520463532,0.0273346014889
ACTIVE_STICKY,validation,DISPERSION,future_return_20,20,23,22,0.0258834895375,-0.000621370266413,0.0580730428092
ACTIVE_STICKY,validation,DISPERSION,mfe_20,20,23,22,0.127301539577,0.0942615347201,0.165942073568
ACTIVE_STICKY,validation,DISPERSION,mae_20,20,23,22,-0.0399802963788,-0.0547641833466,-0.0257792954126
ACTIVE_STICKY,validation,DISPERSION,future_volatility_20,20,23,22,0.0224060447445,0.019128937073,0.0256056455182
ACTIVE_STICKY,validation,DISPERSION,future_return_40,40,23,22,0.0475869586576,-0.00202543243116,0.103603689029
ACTIVE_STICKY,validation,DISPERSION,mfe_40,40,23,22,0.175042100696,0.128611721123,0.229695394364
ACTIVE_STICKY,validation,DISPERSION,mae_40,40,23,22,-0.058962391343,-0.085911080683,-0.034795009812
ACTIVE_STICKY,validation,DISPERSION,future_volatility_40,40,23,22,0.0238142733469,0.0207027063726,0.0267146986057
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,median_shift_fraction,0,221,137,-0.0633677721646,-0.0702225067981,-0.0568911156522
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,width_change_fraction,0,221,137,-0.00134278178264,-0.0231551563217,0.0233406316738
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,future_return_5,5,220,136,0.053281013201,0.0416060350018,0.0660417960875
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,mfe_5,5,220,136,0.0965313021586,0.087025339322,0.107327346019
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,mae_5,5,220,136,-0.0172356047157,-0.0204536982244,-0.0140655785951
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,future_volatility_5,5,220,136,0.0217957191787,0.0200258108695,0.0239498821301
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,future_return_10,10,220,136,0.0763492607696,0.0602724781271,0.0908404057579
ACTIVE_STICKY,validation,DOWNWARD_MIGRATION,mfe_10,10,220,136,0.143046217854,0.126715588199,0.160407647489
