control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,117,112,0.000358613957861,-0.00361128151897,0.00514209290472
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,97,94,0.000942322575799,-0.0029241390201,0.00497409945414
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,184,180,-0.0112113847552,-0.0175225822919,-0.00574018230994
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,65,64,0.00109729245673,-0.00503318434779,0.00746351569767
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,68,66,0.003188858947,-0.00154714590031,0.00827892393357
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,277,266,-0.00980515181139,-0.0145739060402,-0.0051728807884
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,117,112,0.00319320644117,-0.00152728624231,0.00755052512359
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,86,83,0.000967572590688,-0.00311538943245,0.00554304154825
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,212,207,0.132850241546,0.0675724637681,0.202898550725
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,86,85,0,-0.0941176470588,0.0941176470588
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,62,59,-0.0423728813559,-0.118644067797,0.0338983050847
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,261,252,0.105158730159,0.0396329365079,0.164682539683
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,117,112,-0.03125,-0.0982142857143,0.03125
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,97,94,0.0159574468085,-0.0372340425532,0.0744680851064
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,184,180,0.136111111111,0.0665972222222,0.208333333333
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,65,64,-0.046875,-0.125390625,0.046875
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,68,66,-0.0151515151515,-0.0757575757576,0.0454545454545
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,277,266,0.0996240601504,0.0412593984962,0.159821428571
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,117,112,-0.0535714285714,-0.116183035714,0.0133928571429
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,86,83,-0.0240963855422,-0.0722891566265,0.0240963855422
