model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
DISPOSITION,holdout,BASE_INTACT,cross_probability_40,40,0,0,,,
DISPOSITION,holdout,BASE_INTACT,sessions_beyond_40,40,0,0,,,
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,reaction_probability,3,78,71,0.401408450704,0.288732394366,0.521126760563
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,84,77,0.532467532468,0.415422077922,0.636363636364
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,future_return_5,5,74,67,-0.00325147967465,-0.0140359855654,0.00887509116169
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,mae_5,5,74,67,-0.0418540361781,-0.0482452096923,-0.0349025981209
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,cross_probability_5,5,74,67,0.044776119403,0,0.10447761194
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,74,67,0.246268656716,0.089552238806,0.433208955224
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,future_return_10,10,69,62,-0.0130112601212,-0.0237732510307,-0.00092955661609
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,mae_10,10,69,62,-0.0571595971568,-0.0660361724664,-0.0487047713145
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,cross_probability_10,10,69,62,0.104838709677,0.0403225806452,0.185483870968
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,69,62,0.774193548387,0.370967741935,1.22620967742
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,future_return_20,20,54,53,-0.0217011320011,-0.0388881110744,-0.00304517354932
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,mae_20,20,54,53,-0.0848761164968,-0.0949995428517,-0.074350281474
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,cross_probability_20,20,54,53,0.38679245283,0.254716981132,0.519103773585
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,54,53,3.43396226415,2.16886792453,4.73632075472
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
DISPOSITION,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
DISPOSITION,validation,BASE_INTACT,reaction_probability,3,72,66,0.598484848485,0.462121212121,0.719886363636
DISPOSITION,validation,BASE_INTACT,close_favorable_probability,0,74,68,0.757352941176,0.661580882353,0.852941176471
DISPOSITION,validation,BASE_INTACT,future_return_5,5,72,66,0.0195288267931,0.00439559112991,0.0341989423672
DISPOSITION,validation,BASE_INTACT,mae_5,5,72,66,-0.0345046887954,-0.0406921526148,-0.0291401114049
DISPOSITION,validation,BASE_INTACT,cross_probability_5,5,72,66,0,0,0
DISPOSITION,validation,BASE_INTACT,sessions_beyond_5,5,72,66,0.030303030303,0,0.0757575757576
DISPOSITION,validation,BASE_INTACT,future_return_10,10,70,64,0.0211927077948,-0.000482451131823,0.0399063099852
DISPOSITION,validation,BASE_INTACT,mae_10,10,70,64,-0.0485353968397,-0.0564117925528,-0.0409192382168
DISPOSITION,validation,BASE_INTACT,cross_probability_10,10,70,64,0.0703125,0.015625,0.1328125
DISPOSITION,validation,BASE_INTACT,sessions_beyond_10,10,70,64,0.3515625,0.140625,0.609375
DISPOSITION,validation,BASE_INTACT,future_return_20,20,66,60,0.0192786956439,-0.00977341373746,0.0472921872511
DISPOSITION,validation,BASE_INTACT,mae_20,20,66,60,-0.0685952425039,-0.0783789334898,-0.0585440797542
DISPOSITION,validation,BASE_INTACT,cross_probability_20,20,66,60,0.191666666667,0.108333333333,0.291666666667
DISPOSITION,validation,BASE_INTACT,sessions_beyond_20,20,66,60,1.65833333333,0.775,2.60041666667
DISPOSITION,validation,BASE_INTACT,future_return_40,40,0,0,,,
DISPOSITION,validation,BASE_INTACT,mae_40,40,0,0,,,
DISPOSITION,validation,BASE_INTACT,cross_probability_40,40,0,0,,,
DISPOSITION,validation,BASE_INTACT,sessions_beyond_40,40,0,0,,,
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,reaction_probability,3,31,29,0.603448275862,0.447844827586,0.759051724138
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,31,29,0.448275862069,0.275431034483,0.620689655172
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,future_return_5,5,30,28,0.0344414123834,0.00387829083605,0.0670530948242
