split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
holdout,MASS_DISAGREEMENT,future_volume_ratio_10,10,2,2,1.10245533199,0.433372536859,1.77153812712
holdout,MASS_DISAGREEMENT,future_return_20,20,2,2,0.00578947368421,-0.0184210526316,0.03
holdout,MASS_DISAGREEMENT,mfe_20,20,2,2,0.157061403509,0.0657894736842,0.248333333333
holdout,MASS_DISAGREEMENT,mae_20,20,2,2,-0.0481140350877,-0.0578947368421,-0.0383333333333
holdout,MASS_DISAGREEMENT,future_volatility_20,20,2,2,0.0275796567754,0.0162703191762,0.0388889943747
holdout,MASS_DISAGREEMENT,future_volume_ratio_20,20,2,2,1.01113061108,0.356895504841,1.66536571732
holdout,MODEL_BASE_MISSING,model_base_level_spread,0,20,20,0.202016392047,0.077917261482,0.347198077943
holdout,MODEL_BASE_MISSING,model_base_mass_cv,0,20,20,0.310125265238,0.229733141094,0.388697025796
holdout,MODEL_BASE_MISSING,model_mode_count_range,0,24,24,1.41666666667,1.04166666667,1.875
holdout,MODEL_BASE_MISSING,future_chop_10,10,24,24,0.520833333333,0.453125,0.588541666667
holdout,MODEL_BASE_MISSING,future_return_5,5,24,24,-0.00931244799796,-0.0349767742813,0.0161293693569
holdout,MODEL_BASE_MISSING,mfe_5,5,24,24,0.0612696422164,0.0453599838186,0.0768182373771
holdout,MODEL_BASE_MISSING,mae_5,5,24,24,-0.0455973425186,-0.0645514575587,-0.0292358305301
holdout,MODEL_BASE_MISSING,future_volatility_5,5,24,24,0.0252670162246,0.0188088808487,0.0330908332757
holdout,MODEL_BASE_MISSING,future_volume_ratio_5,5,24,24,1.15928903431,0.98079764329,1.35526957647
holdout,MODEL_BASE_MISSING,future_return_10,10,24,24,-0.0386265921843,-0.0775342227572,-0.00573053563274
holdout,MODEL_BASE_MISSING,mfe_10,10,24,24,0.0705528601549,0.0541552394683,0.0865036037782
holdout,MODEL_BASE_MISSING,mae_10,10,24,24,-0.0802648870182,-0.110308351932,-0.0539388395791
holdout,MODEL_BASE_MISSING,future_volatility_10,10,24,24,0.0265389465034,0.0212063985633,0.033426966451
holdout,MODEL_BASE_MISSING,future_volume_ratio_10,10,24,24,1.11178234266,0.878935907801,1.32886235616
holdout,MODEL_BASE_MISSING,future_return_20,20,24,24,-0.0740298440154,-0.121253323517,-0.0216421369264
holdout,MODEL_BASE_MISSING,mfe_20,20,24,24,0.099189512534,0.0759946462826,0.124569653295
