trade_date,family,cost_per_side,nav,cash,positions,industries,industry_hhi
2020-11-27,slow_industry_daily_low_max,0.004,9701753.034,304325.0451,40,9,0.1516222096
2020-11-30,slow_industry_daily_low_max,0.004,9635430.114,304325.0451,40,9,0.1519835878
2020-12-01,slow_industry_daily_low_max,0.004,9677415.565,304325.0451,40,9,0.1518268753
2020-12-02,slow_industry_daily_low_max,0.004,9615566.417,304325.0451,40,9,0.152623917
2020-12-03,slow_industry_daily_low_max,0.004,9523139.287,304325.0451,40,9,0.1520344808
2020-12-04,slow_industry_daily_low_max,0.004,9655534.297,189752.1967,40,10,0.1600535168
2020-12-07,slow_industry_daily_low_max,0.004,9649849.48,189752.1967,40,10,0.1598039383
2020-12-08,slow_industry_daily_low_max,0.004,9639761.599,189752.1967,40,10,0.1592849256
2020-12-09,slow_industry_daily_low_max,0.004,9551343.378,189752.1967,40,10,0.1592135513
2020-12-10,slow_industry_daily_low_max,0.004,9563400.782,189752.1967,40,10,0.1604474248
2020-12-11,slow_industry_daily_low_max,0.004,9497984.134,144290.2152,40,12,0.141356711
2020-12-14,slow_industry_daily_low_max,0.004,9415831.484,144290.2152,40,12,0.141118386
2020-12-15,slow_industry_daily_low_max,0.004,9336814.924,144290.2152,40,12,0.1409906087
2020-12-16,slow_industry_daily_low_max,0.004,9396656.686,144290.2152,40,12,0.1403410168
2020-12-17,slow_industry_daily_low_max,0.004,9612014.635,144290.2152,40,12,0.1413964627
2020-12-18,slow_industry_daily_low_max,0.004,9591611.289,87118.04067,40,14,0.1076606475
2020-12-21,slow_industry_daily_low_max,0.004,9716861.259,87118.04067,40,14,0.1072186034
2020-12-22,slow_industry_daily_low_max,0.004,9636487.993,87118.04067,40,14,0.108994499
2020-12-23,slow_industry_daily_low_max,0.004,9714924.786,87118.04067,40,14,0.1102130513
2020-12-24,slow_industry_daily_low_max,0.004,9522822.133,87118.04067,40,14,0.1102230331
2020-12-25,slow_industry_daily_low_max,0.004,9590576.506,34329.81879,40,12,0.1462284058
2020-12-28,slow_industry_daily_low_max,0.004,9645972.251,34329.81879,40,12,0.1483776899
2020-12-29,slow_industry_daily_low_max,0.004,9318216.059,34329.81879,40,12,0.1476873877
2020-12-30,slow_industry_daily_low_max,0.004,9505005.094,34329.81879,40,12,0.1485055569
2020-12-31,slow_industry_daily_low_max,0.004,9592036.271,34329.81879,40,12,0.1487221315
2021-01-04,slow_industry_daily_low_max,0.004,9913332.157,4.947651178e-10,40,8,0.2534936028
2021-01-05,slow_industry_daily_low_max,0.004,10449688.24,4.947651178e-10,40,8,0.2567571526
2021-01-06,slow_industry_daily_low_max,0.004,10333708.57,4.947651178e-10,40,8,0.2590375095
2021-01-07,slow_industry_daily_low_max,0.004,10490059.78,4.947651178e-10,40,8,0.2553803642
2021-01-08,slow_industry_daily_low_max,0.004,10159318.25,4.947651178e-10,40,8,0.2531570203
2021-01-11,slow_industry_daily_low_max,0.004,9714478.074,-8.731149137e-11,40,7,0.2772366286
2021-01-12,slow_industry_daily_low_max,0.004,10037739.33,-8.731149137e-11,40,7,0.2805971171
2021-01-13,slow_industry_daily_low_max,0.004,9825453.572,-8.731149137e-11,40,7,0.2810581138
2021-01-14,slow_industry_daily_low_max,0.004,9530116.627,-8.731149137e-11,40,7,0.2802751669
2021-01-15,slow_industry_daily_low_max,0.004,9560973.544,-8.731149137e-11,40,7,0.2753830885
2021-01-18,slow_industry_daily_low_max,0.004,9677113.395,2.037268132e-10,40,10,0.2826796366
2021-01-19,slow_industry_daily_low_max,0.004,9457714.556,2.037268132e-10,40,10,0.2795625374
2021-01-20,slow_industry_daily_low_max,0.004,9737289.471,2.037268132e-10,40,10,0.2841972578
2021-01-21,slow_industry_daily_low_max,0.004,10033751.59,2.037268132e-10,40,10,0.2884723031
2021-01-22,slow_industry_daily_low_max,0.004,10271588.62,2.037268132e-10,40,10,0.2980035106
2021-01-25,slow_industry_daily_low_max,0.004,10560585.12,100230.4141,40,10,0.4230839289
2021-01-26,slow_industry_daily_low_max,0.004,10341313.84,100230.4141,40,10,0.4244713959
2021-01-27,slow_industry_daily_low_max,0.004,10433221.86,100230.4141,40,10,0.4315662327
2021-01-28,slow_industry_daily_low_max,0.004,10057432.54,100230.4141,40,10,0.4249478471
2021-01-29,slow_industry_daily_low_max,0.004,9677251.404,100230.4141,40,10,0.4087576692
2021-02-01,slow_industry_daily_low_max,0.004,9588168.778,79051.58459,40,8,0.4022092651
2021-02-02,slow_industry_daily_low_max,0.004,9918945.902,79051.58459,40,8,0.4093591327
2021-02-03,slow_industry_daily_low_max,0.004,9960251.535,79051.58459,40,8,0.4098709561
2021-02-04,slow_industry_daily_low_max,0.004,9439498.955,79051.58459,40,8,0.3974307038
2021-02-05,slow_industry_daily_low_max,0.004,8979389.002,79051.58459,40,8,0.386353573
2021-02-08,slow_industry_daily_low_max,0.004,9076190.816,31283.73049,40,10,0.2232029244
2021-02-09,slow_industry_daily_low_max,0.004,9307069.4,31283.73049,40,10,0.2276827274
2021-02-10,slow_industry_daily_low_max,0.004,9291650.901,31283.73049,40,10,0.2253946167
2021-02-18,slow_industry_daily_low_max,0.004,9641489.458,31283.73049,40,10,0.2297690658
2021-02-19,slow_industry_daily_low_max,0.004,9733059.311,31283.73049,40,10,0.2192766662
2021-02-22,slow_industry_daily_low_max,0.004,9875458.699,4.074536264e-10,40,11,0.1478435736
2021-02-23,slow_industry_daily_low_max,0.004,9803158.015,4.074536264e-10,40,11,0.1484917017
2021-02-24,slow_industry_daily_low_max,0.004,9666623.841,4.074536264e-10,40,11,0.1471525712
2021-02-25,slow_industry_daily_low_max,0.004,9548344.5,4.074536264e-10,40,11,0.1462577815
2021-02-26,slow_industry_daily_low_max,0.004,9347915.521,4.074536264e-10,40,11,0.1464356947
2021-03-01,slow_industry_daily_low_max,0.004,9636162.456,2.910383046e-11,41,14,0.1206776462
2021-03-02,slow_industry_daily_low_max,0.004,9472290.434,2.910383046e-11,41,14,0.1210551373
2021-03-03,slow_industry_daily_low_max,0.004,9678089.404,2.910383046e-11,41,14,0.1201959271
2021-03-04,slow_industry_daily_low_max,0.004,9520026.725,2.910383046e-11,41,14,0.1211271313
