section,sample_type,representation,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative,absolute_bin,relative_bin
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,3,3821,462,2127,113,-0.00650179790126,-0.0176359609548,0.423449358807,0.00233973529626,-7.63990894686e-05,0.00199465061059,0.166710285266,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,4,3806,462,2087,115,-0.0118976853693,-0.0211935652142,0.408565423016,-0.00377467750039,-0.00478582593969,-0.00344596749896,0.181555438781,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,5,4011,462,2038,112,-0.0164571643281,-0.0283388778,0.401645474944,-0.00471784486904,-0.00711052415777,-0.00767834450557,0.251558214909,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,Q5-Q1,3631,462,,,-0.0101256525877,-0.0120833802298,-0.0255095787603,-0.00526504027064,-0.00555934327236,-0.0102477021726,0.0819079808137,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,1,3565,452,2020,114,-0.00955498364444,-0.0277874285559,0.411781206171,0.00220367409116,-0.00221282183048,0.0047007653348,0.272931276297,-0.113235622,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,2,3753,452,2118,117,-0.00697253897706,-0.0242810674946,0.428457234213,0.0034835430635,0,0.00679108447735,0.254196642686,-0.109591760705,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,3,3756,451,2105,113,-0.0137211739747,-0.0301955713663,0.40202342918,0.00150950027746,-0.00176720617887,6.0734946907e-05,0.268903088392,-0.11038940409,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,4,3750,452,2064,115,-0.0177144247479,-0.0338681611495,0.393066666667,-0.00420615835559,-0.00649795831158,-0.00385749991776,0.278933333333,-0.116681951566,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,5,3929,452,2011,112,-0.0305044365305,-0.0503747407146,0.364469330618,-0.0112392817772,-0.0144439471057,-0.0161013855017,0.351488928481,-0.135117998117,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,20,Q5-Q1,3565,452,,,-0.0209494528861,-0.0225873121588,-0.0473118755526,-0.0134429558683,-0.0122311252752,-0.0208021508365,0.0785576521832,-0.0218823761171,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,1,1,272,63,226,58,-0.00253349963644,-0.00196015014817,0.470588235294,0.000114480465655,-0.000701870360374,-0.00021474332641,0.00367647058824,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,1,2,292,63,248,61,-0.00243360183638,-0.00274307907988,0.458904109589,-0.000129830117697,-0.000257342418398,-0.000154206666495,0.00342465753425,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,1,3,299,63,253,62,-0.00396951548618,-0.00399201596806,0.471571906355,-0.000688296269633,-0.00128209263938,-0.00158799626354,0,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,1,4,292,63,246,57,-0.00143631729624,-0.00104735187329,0.482876712329,0.000254810008738,-1.76119454006e-05,0.000843077873648,0.00342465753425,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,1,5,323,63,258,60,-0.00168421640871,-0.00412728187807,0.442724458204,-0.000107792961734,-0.00113501154025,0.000601718479726,0.0030959752322,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,2018,1,Q5-Q1,272,63,,,0.000849283227727,-0.0021671317299,-0.0278637770898,-0.000222273427388,-0.000433141179878,0.000816461806135,-0.000580495356037,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,3,1,272,63,226,58,0.00203559048069,0.00108504545911,0.507352941176,0.000741500767762,0.00138456474353,0.00111713590207,0.0404411764706,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,3,2,292,63,248,61,0.00216724274246,-0.0023875572655,0.469178082192,0.00172869305555,0.000197239155936,0.00211420533966,0.027397260274,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,3,3,299,63,253,62,-0.00090517122376,-0.00178411649607,0.494983277592,-0.00159169256924,-0.00231409780282,-0.00129129345422,0.0334448160535,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,3,4,292,63,246,57,0.000391573280449,-0.00157654326643,0.486301369863,0.00150611756908,-0.00095093601739,0.000338535877647,0.0342465753425,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,3,5,323,63,258,60,-0.00188676810186,-0.003543363723,0.445820433437,-0.00273123622172,-0.00305442448436,-0.00250226962555,0.0340557275542,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,2018,3,Q5-Q1,272,63,,,-0.00392235858256,-0.00462840918211,-0.0615325077399,-0.00347273698948,-0.00443898922789,-0.00361940552762,-0.00638544891641,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,5,1,272,63,226,58,-0.00196667024723,-0.00582215239096,0.455882352941,0.00223572313328,0.000270015972951,-0.00035194588619,0.0551470588235,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,5,2,292,63,248,61,0.00150474094359,-0.00214581296915,0.469178082192,0.00249479552581,0.000125190957097,0.00347907938457,0.0445205479452,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,5,3,299,63,253,62,-0.00285894372803,-0.00524092880071,0.464882943144,-0.00150172135691,-0.00369400143896,-0.000882480887374,0.0535117056856,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,5,4,292,63,246,57,-0.00259903103495,-0.00399201596806,0.452054794521,0.000848111850272,-5.38601045847e-05,-0.000624692593973,0.0684931506849,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,5,5,323,63,258,60,-0.000538609344652,-0.00306828957434,0.479876160991,-0.00148509852521,-0.00055364687859,0.000583138224542,0.0681114551084,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,2018,5,Q5-Q1,272,63,,,0.00142806090257,0.00275386281662,0.0239938080495,-0.00372082165849,-0.000823662851542,0.000935084110731,0.0129643962848,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,10,1,272,63,226,58,-0.00731363044813,-0.00732764255902,0.441176470588,0.00464310113306,0.00222231612879,-0.00210832113707,0.121323529412,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,10,2,292,63,248,61,-0.00285262906418,-0.000955307543511,0.489726027397,0.000726229914952,0.000123292729257,0.00326120736757,0.106164383562,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,10,3,299,63,253,62,-0.00213023948676,-0.00809081425626,0.458193979933,0.00219256250527,-0.00150995074352,0.00404520147976,0.110367892977,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,10,4,292,63,246,57,-7.49331151698e-06,-0.00531064966272,0.469178082192,0.00357881942044,0.00158916742978,0.00610634312023,0.0958904109589,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,2018,10,5,323,63,258,60,-0.0057541312152,-0.0151580247577,0.421052631579,-0.000146800671286,-0.000123789210046,-0.000625392054062,0.133126934985,,,,,,,,,,
