trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-04-25,SH_A,ALL_STATUS,1225,400,True
2018-04-25,SH_A,NON_ST,1199,400,True
2018-04-25,SZ_A,ALL_STATUS,1824,400,True
2018-04-25,SZ_A,NON_ST,1808,400,True
2018-04-26,ALL_A,ALL_STATUS,3044,1000,True
2018-04-26,ALL_A,NON_ST,2999,1000,True
2018-04-26,CHINEXT_BOARD,ALL_STATUS,645,200,True
2018-04-26,CHINEXT_BOARD,NON_ST,645,200,True
2018-04-26,SH_A,ALL_STATUS,1223,400,True
2018-04-26,SH_A,NON_ST,1194,400,True
2018-04-26,SZ_A,ALL_STATUS,1821,400,True
2018-04-26,SZ_A,NON_ST,1805,400,True
2018-04-27,ALL_A,ALL_STATUS,3048,1000,True
2018-04-27,ALL_A,NON_ST,3001,1000,True
2018-04-27,CHINEXT_BOARD,ALL_STATUS,646,200,True
2018-04-27,CHINEXT_BOARD,NON_ST,646,200,True
2018-04-27,SH_A,ALL_STATUS,1224,400,True
2018-04-27,SH_A,NON_ST,1195,400,True
2018-04-27,SZ_A,ALL_STATUS,1824,400,True
2018-04-27,SZ_A,NON_ST,1806,400,True
2018-05-02,ALL_A,ALL_STATUS,3049,1000,True
2018-05-02,ALL_A,NON_ST,3002,1000,True
2018-05-02,CHINEXT_BOARD,ALL_STATUS,650,200,True
2018-05-02,CHINEXT_BOARD,NON_ST,650,200,True
2018-05-02,SH_A,ALL_STATUS,1219,400,True
2018-05-02,SH_A,NON_ST,1191,400,True
2018-05-02,SZ_A,ALL_STATUS,1830,400,True
2018-05-02,SZ_A,NON_ST,1811,400,True
2018-05-03,ALL_A,ALL_STATUS,3056,1000,True
2018-05-03,ALL_A,NON_ST,3003,1000,True
2018-05-03,CHINEXT_BOARD,ALL_STATUS,650,200,True
2018-05-03,CHINEXT_BOARD,NON_ST,650,200,True
2018-05-03,SH_A,ALL_STATUS,1223,400,True
2018-05-03,SH_A,NON_ST,1193,400,True
2018-05-03,SZ_A,ALL_STATUS,1833,400,True
2018-05-03,SZ_A,NON_ST,1810,400,True
2018-05-04,ALL_A,ALL_STATUS,3053,1000,True
2018-05-04,ALL_A,NON_ST,3002,1000,True
2018-05-04,CHINEXT_BOARD,ALL_STATUS,652,200,True
2018-05-04,CHINEXT_BOARD,NON_ST,652,200,True
2018-05-04,SH_A,ALL_STATUS,1218,400,True
2018-05-04,SH_A,NON_ST,1189,400,True
2018-05-04,SZ_A,ALL_STATUS,1835,400,True
2018-05-04,SZ_A,NON_ST,1813,400,True
2018-05-07,ALL_A,ALL_STATUS,3056,1000,True
2018-05-07,ALL_A,NON_ST,3005,1000,True
2018-05-07,CHINEXT_BOARD,ALL_STATUS,653,200,True
2018-05-07,CHINEXT_BOARD,NON_ST,653,200,True
2018-05-07,SH_A,ALL_STATUS,1218,400,True
2018-05-07,SH_A,NON_ST,1189,400,True
2018-05-07,SZ_A,ALL_STATUS,1838,400,True
