cohort_id,industry,decision_date,rank_correlation,selection_overlap,changed_fraction,replacements_requested
2018-08-20,工程机械,2018-08-21,1,1,0,0
2018-08-20,工程机械,2018-08-22,0.9642857143,1,0,0
2018-08-20,工程机械,2018-08-23,1,1,0,0
2018-08-20,工程机械,2018-08-24,1,1,0,0
2018-08-20,工程机械,2018-08-27,1,1,0,0
2018-08-20,工程机械,2018-08-28,1,1,0,0
2018-08-20,工程机械,2018-08-29,1,1,0,0
2018-08-20,工程机械,2018-08-30,1,1,0,0
2018-08-20,工程机械,2018-08-31,1,1,0,0
2018-08-20,工程机械,2018-09-03,1,1,0,0
2018-08-20,工程机械,2018-09-04,0.03571428571,0.5,0.5,2
2018-08-20,工程机械,2018-09-05,1,1,0,0
2018-08-20,工程机械,2018-09-06,1,1,0,0
2018-08-20,工程机械,2018-09-07,,1,0,0
2018-08-20,工程机械,2018-09-10,,1,0,0
2018-08-20,工程机械,2018-09-11,,1,0,0
2018-08-20,工程机械,2018-09-12,,1,0,0
2018-08-20,工程机械,2018-09-13,,1,0,0
2018-08-20,工程机械,2018-09-14,,1,0,0
2018-08-20,普钢,2018-08-21,0.7647058824,0.3333333333,0.6666666667,2
2018-08-20,普钢,2018-08-22,0.9852941176,0.6666666667,0.3333333333,1
2018-08-20,普钢,2018-08-23,1,1,0,0
2018-08-20,普钢,2018-08-24,0.9058823529,1,0,0
2018-08-20,普钢,2018-08-27,1,1,0,0
2018-08-20,普钢,2018-08-28,1,1,0,0
2018-08-20,普钢,2018-08-29,1,1,0,0
2018-08-20,普钢,2018-08-30,0.9705882353,1,0,0
2018-08-20,普钢,2018-08-31,1,1,0,0
2018-08-20,普钢,2018-09-03,1,1,0,0
2018-08-20,普钢,2018-09-04,0.8,0.6666666667,0.3333333333,1
2018-08-20,普钢,2018-09-05,0.9382352941,0.6666666667,0.3333333333,1
2018-08-20,普钢,2018-09-06,1,1,0,0
2018-08-20,普钢,2018-09-07,0.9964285714,1,0,0
2018-08-20,普钢,2018-09-10,0.7,1,0,0
2018-08-20,普钢,2018-09-11,1,1,0,0
2018-08-20,普钢,2018-09-12,1,0.6666666667,0.3333333333,1
2018-08-20,普钢,2018-09-13,1,1,0,0
2018-08-20,普钢,2018-09-14,0.956043956,1,0,0
2018-08-20,炼化及贸易,2018-08-21,0.9785714286,1,0,0
2018-08-20,炼化及贸易,2018-08-22,1,1,0,0
2018-08-20,炼化及贸易,2018-08-23,0.9107142857,0.6666666667,0.3333333333,1
2018-08-20,炼化及贸易,2018-08-24,1,1,0,0
2018-08-20,炼化及贸易,2018-08-27,1,1,0,0
2018-08-20,炼化及贸易,2018-08-28,0.5714285714,0.6666666667,0.3333333333,1
2018-08-20,炼化及贸易,2018-08-29,0.5384615385,0.3333333333,0.6666666667,2
2018-08-20,炼化及贸易,2018-08-30,0.958041958,0.6666666667,0.3333333333,1
2018-08-20,炼化及贸易,2018-08-31,1,1,0,0
2018-08-20,炼化及贸易,2018-09-03,1,1,0,0
2018-08-20,炼化及贸易,2018-09-04,0.6121212121,0.3333333333,0.6666666667,2
2018-08-20,炼化及贸易,2018-09-05,1,1,0,0
2018-08-20,炼化及贸易,2018-09-06,0.6606060606,0.6666666667,0.3333333333,1
2018-08-20,炼化及贸易,2018-09-07,0.9878787879,1,0,0
2018-08-20,炼化及贸易,2018-09-10,1,1,0,0
2018-08-20,炼化及贸易,2018-09-11,1,0.6666666667,0.3333333333,1
2018-08-20,炼化及贸易,2018-09-12,1,1,0,0
2018-08-20,炼化及贸易,2018-09-13,0.8928571429,0.3333333333,0.6666666667,2
2018-08-20,炼化及贸易,2018-09-14,1,1,0,0
2018-08-27,工程机械,2018-08-28,1,1,0,0
2018-08-27,工程机械,2018-08-29,1,1,0,0
2018-08-27,工程机械,2018-08-30,1,1,0,0
2018-08-27,工程机械,2018-08-31,1,1,0,0
2018-08-27,工程机械,2018-09-03,1,1,0,0
2018-08-27,工程机械,2018-09-04,0.03571428571,1,0,0
2018-08-27,工程机械,2018-09-05,1,1,0,0
2018-08-27,工程机械,2018-09-06,1,1,0,0
2018-08-27,工程机械,2018-09-07,,1,0,0
2018-08-27,工程机械,2018-09-10,,1,0,0
2018-08-27,工程机械,2018-09-11,,1,0,0
2018-08-27,工程机械,2018-09-12,,1,0,0
2018-08-27,工程机械,2018-09-13,,1,0,0
2018-08-27,工程机械,2018-09-14,,1,0,0
2018-08-27,工程机械,2018-09-17,,1,0,0
2018-08-27,工程机械,2018-09-18,,1,0,0
2018-08-27,工程机械,2018-09-19,,1,0,0
2018-08-27,工程机械,2018-09-20,,1,0,0
2018-08-27,工程机械,2018-09-21,,1,0,0
2018-08-27,通信设备,2018-08-28,1,1,0,0
2018-08-27,通信设备,2018-08-29,1,1,0,0
2018-08-27,通信设备,2018-08-30,1,0.6666666667,0.3333333333,1
2018-08-27,通信设备,2018-08-31,0.8564102564,0.6666666667,0.3333333333,1
2018-08-27,通信设备,2018-09-03,1,1,0,0
2018-08-27,通信设备,2018-09-04,0.9981684982,1,0,0
2018-08-27,通信设备,2018-09-05,1,1,0,0
