role,market_view,denominator,scope,scope_value,direction,horizon,outcome,n,mean,median,positive,p10,p90
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,3,downside,3,-0.013856601102509636,-0.01518880973041275,0,-0.017337870114954031,-0.0098424486389039906
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,3,downside,8,0.0058288162804455666,0.0054468231694482748,0.75,-0.0021465662710097077,0.013317319228193346
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,3,downside,4,0.0031823320701601212,0.001940314171788594,0.5,-0.0039172698376328833,0.011275548296650348
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,3,downside,4,-0.010864910376122102,-0.012807134207944401,0,-0.015952069145903403,-0.0042239725408829603
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,3,terminal,19,-0.010382261807072088,-0.0064252580016543005,0.36842105263157893,-0.056887557777263967,0.017195481148310952
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,3,terminal,3,-0.060096894036708759,-0.058387308483262207,0,-0.063990064517532155,-0.056887557777263967
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,3,terminal,8,-0.0034361504819853794,-0.0047666243941580505,0.375,-0.016964331526646111,0.010797376157433178
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,3,terminal,4,0.01203540544505524,0.011071761050691815,0.75,-0.00075529070832351707,0.025597017113924741
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,3,terminal,4,-0.009406177537145342,-0.012496801729897167,0.25,-0.015842075690650975,-0.00049778002943824716
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,5,downside,19,-0.0050701313786343767,-0.00081302888168329618,0.42105263157894735,-0.020343650710801874,0.010276043279716126
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,5,downside,3,-0.01924574481905153,-0.02131211118602365,0,-0.021605512459429214,-0.016059430631884999
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,5,downside,8,-0.00021548684400972754,0.0021314407480078831,0.5,-0.015425841649083756,0.011071295326216991
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,5,downside,4,0.0020736423537542504,0.002901760472749447,0.75,-0.0054519772987198806,0.0089367675110322252
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,5,downside,4,-0.011291484099959441,-0.0148131463879298,0.25,-0.016164980365698422,-0.0036006580038441685
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,5,terminal,19,-0.024201387504681898,-0.01485015498861,0.21052631578947367,-0.083511682371112991,0.0049184643567601995
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,5,terminal,3,-0.087806675087942154,-0.083574765552250338,0,-0.09379443161904806,-0.083511682371112991
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,5,terminal,8,-0.0096776189519196011,-0.0048026728045491495,0.375,-0.02840564276943575,0.0049304727127682992
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,5,terminal,4,-0.012576711248593516,-0.012733721381386301,0.25,-0.025591205616000531,0.00056339122504772861
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,5,terminal,4,-0.017169635178849674,-0.017803133163029051,0,-0.030834918350604909,-0.0029975536197509381
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,overall,ALL,DOWN,1,downside,13,0.0043926948570026719,0.0069358465745781002,0.84615384615384615,-0.00082635561521124021,0.01024704889639896
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,year,2021,DOWN,1,downside,8,0.0045353036518320407,0.0079126602528326838,0.75,-0.0059464782692885609,0.013102760522451627
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,year,2022,DOWN,1,downside,5,0.004164520785275681,0.0044151082925819006,1,0.00075039265997147993,0.007549698981099421
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,overall,ALL,DOWN,1,terminal,13,0.0052796598055904302,0.0053847976420312998,0.84615384615384615,-0.0081365201565439561,0.018387952212690167
