role,market_view,denominator,event_year,pit_observations,raw_up_crossings,raw_down_crossings,declustered_up_episodes,declustered_down_episodes,matched_up_episodes,matched_down_episodes
formation_participation,CHINEXT_BOARD,NON_ST,2022,242,17,18,5,6,2,4
formation_participation,CHINEXT_BOARD,NON_ST,2023,237,23,23,8,12,1,6
formation_participation,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_participation,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_participation,SH_A,ALL_STATUS,2020,187,16,15,4,9,4,6
formation_participation,SH_A,ALL_STATUS,2021,243,24,24,2,14,2,8
formation_participation,SH_A,ALL_STATUS,2022,242,21,22,6,7,3,7
formation_participation,SH_A,ALL_STATUS,2023,237,28,28,9,7,2,5
formation_participation,SH_A,NON_ST,2018,0,0,0,0,0,0,0
formation_participation,SH_A,NON_ST,2019,0,0,0,0,0,0,0
formation_participation,SH_A,NON_ST,2020,187,19,18,5,9,5,0
formation_participation,SH_A,NON_ST,2021,243,24,24,2,14,2,8
formation_participation,SH_A,NON_ST,2022,242,22,23,6,8,3,7
formation_participation,SH_A,NON_ST,2023,237,28,28,8,8,2,8
formation_participation,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_participation,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_participation,SZ_A,ALL_STATUS,2020,187,19,19,3,8,2,6
formation_participation,SZ_A,ALL_STATUS,2021,243,25,24,4,12,4,7
formation_participation,SZ_A,ALL_STATUS,2022,242,18,19,5,6,4,3
formation_participation,SZ_A,ALL_STATUS,2023,237,27,27,7,7,0,1
formation_participation,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
formation_participation,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
formation_participation,SZ_A,NON_ST,2020,187,20,20,3,8,2,5
formation_participation,SZ_A,NON_ST,2021,243,27,26,4,12,4,8
formation_participation,SZ_A,NON_ST,2022,242,18,19,5,7,5,4
formation_participation,SZ_A,NON_ST,2023,237,29,29,7,7,0,1
stock_industry_divergence,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
stock_industry_divergence,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
stock_industry_divergence,ALL_A,ALL_STATUS,2020,187,20,21,7,2,3,2
stock_industry_divergence,ALL_A,ALL_STATUS,2021,243,26,25,7,7,6,3
stock_industry_divergence,ALL_A,ALL_STATUS,2022,242,25,26,10,7,3,4
stock_industry_divergence,ALL_A,ALL_STATUS,2023,237,21,20,6,11,4,11
stock_industry_divergence,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
stock_industry_divergence,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
stock_industry_divergence,ALL_A,NON_ST,2020,187,21,22,9,3,3,1
stock_industry_divergence,ALL_A,NON_ST,2021,243,28,27,8,6,8,5
stock_industry_divergence,ALL_A,NON_ST,2022,242,26,27,10,6,4,4
stock_industry_divergence,ALL_A,NON_ST,2023,237,23,23,7,11,4,9
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2020,179,35,34,5,2,3,0
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2021,243,46,47,5,9,0,8
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2022,239,36,36,8,9,6,5
stock_industry_divergence,CHINEXT_BOARD,ALL_STATUS,2023,237,39,39,6,9,0,0
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2020,179,35,34,5,2,3,0
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2021,243,46,47,7,9,0,8
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2022,239,37,37,8,9,7,3
stock_industry_divergence,CHINEXT_BOARD,NON_ST,2023,237,35,35,7,9,1,0
stock_industry_divergence,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
stock_industry_divergence,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
stock_industry_divergence,SH_A,ALL_STATUS,2020,186,34,34,9,3,0,0
stock_industry_divergence,SH_A,ALL_STATUS,2021,243,41,40,7,10,1,0
stock_industry_divergence,SH_A,ALL_STATUS,2022,242,26,27,11,7,11,7
stock_industry_divergence,SH_A,ALL_STATUS,2023,237,30,30,6,8,5,5
stock_industry_divergence,SH_A,NON_ST,2018,0,0,0,0,0,0,0
stock_industry_divergence,SH_A,NON_ST,2019,0,0,0,0,0,0,0
stock_industry_divergence,SH_A,NON_ST,2020,186,29,29,9,1,0,0
stock_industry_divergence,SH_A,NON_ST,2021,243,42,41,6,9,2,0
stock_industry_divergence,SH_A,NON_ST,2022,242,29,30,10,7,10,4
stock_industry_divergence,SH_A,NON_ST,2023,237,30,30,6,9,2,4
stock_industry_divergence,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
stock_industry_divergence,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
stock_industry_divergence,SZ_A,ALL_STATUS,2020,187,25,26,5,4,0,3
stock_industry_divergence,SZ_A,ALL_STATUS,2021,243,31,30,8,7,4,4
stock_industry_divergence,SZ_A,ALL_STATUS,2022,242,29,30,8,4,7,4
stock_industry_divergence,SZ_A,ALL_STATUS,2023,237,24,24,7,9,7,7
stock_industry_divergence,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
stock_industry_divergence,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
stock_industry_divergence,SZ_A,NON_ST,2020,187,25,26,5,3,0,1
stock_industry_divergence,SZ_A,NON_ST,2021,243,29,28,9,6,2,5
stock_industry_divergence,SZ_A,NON_ST,2022,242,28,29,9,5,5,4
stock_industry_divergence,SZ_A,NON_ST,2023,237,20,20,7,9,7,9
