trade_date,calendar_year,dispersion_state,candidate_selected,candidate_complete,opposite_selected,opposite_complete,control_complete,candidate_mean_net,candidate_median_net,candidate_positive_rate,candidate_severe_rate,control_mean_net,control_severe_rate,opposite_mean_net,candidate_minus_control,candidate_minus_opposite
2021-06-07,2021,0.883426966292,103,100,103,101,2150,0.00136558504176,-0.00400927841173,0.45,0.02,0.000713232522712,0.0195348837209,0.00731035406665,0.00065235251905,-0.00594476902489
2021-06-08,2021,0.827489481066,103,100,103,100,2177,-0.0121673315701,-0.0142739617562,0.34,0.05,-0.00415345959118,0.0188332567754,-0.0105840362301,-0.00801387197888,-0.00158329533998
2021-06-11,2021,0.822625698324,101,99,101,100,2217,-0.0222019653666,-0.0258863074006,0.272727272727,0.0606060606061,-0.0149830164669,0.0320252593595,-0.0114895315544,-0.00721894889977,-0.0107124338123
2021-06-21,2021,0.858529819695,101,101,101,100,2279,-0.00273978423402,-0.004,0.435643564356,0.029702970297,-0.00297222849639,0.0193067134708,8.20721763862e-06,0.000232444262371,-0.00274799145166
2021-06-24,2021,0.835635359116,103,101,103,101,2299,-0.000116078242284,-0.0142040816327,0.376237623762,0.00990099009901,0.000261799736523,0.0169638973467,-0.00918731355356,-0.000377877978807,0.00907123531127
2021-07-01,2021,0.973936899863,103,101,103,99,2294,0.0126538821966,0.00531984929605,0.544554455446,0.029702970297,0.0039697818918,0.0313862249346,-0.0147792933878,0.00868410030479,0.0274331755844
2021-07-08,2021,0.859673024523,102,102,102,102,2274,0.0184662039278,0.0102063600054,0.617647058824,0.0196078431373,0.0252924661112,0.0153913808267,0.0228830110178,-0.00682626218336,-0.00441680708993
2021-07-22,2021,0.833333333333,101,99,101,99,2298,-0.059650383738,-0.0641226993865,0.131313131313,0.282828282828,-0.0507536847078,0.178416013925,-0.0604947320488,-0.00889669903017,0.000844348310797
2021-07-23,2021,0.970469798658,100,99,100,99,2307,-0.0784500257446,-0.088693877551,0.10101010101,0.353535353535,-0.0643439777695,0.254442999567,-0.0524813106179,-0.0141060479751,-0.0259687151267
2021-07-26,2021,0.902144772118,100,99,100,98,2315,-0.0348085132555,-0.0377865677792,0.212121212121,0.0606060606061,-0.01947475883,0.0449244060475,-0.00549575113812,-0.0153337544255,-0.0293127621174
2021-07-27,2021,0.967871485944,100,98,100,97,2302,0.0200240115327,0.0100091558038,0.571428571429,0.0408163265306,0.0157015122514,0.01303214596,0.0011061564154,0.00432249928131,0.0189178551173
2021-07-28,2021,0.942513368984,100,98,100,98,2315,0.0767376080679,0.0538531753999,0.84693877551,0.0102040816327,0.0625114388548,0.00302375809935,0.0490572304541,0.0142261692131,0.0276803776138
2021-07-29,2021,0.991989319092,102,101,102,100,2348,0.00464287250316,0.00409993168732,0.554455445545,0.039603960396,0.0198935151452,0.0362010221465,0.025407751676,-0.015250642642,-0.0207648791728
2021-07-30,2021,0.817333333333,101,99,101,98,2345,0.0253968910584,0.0161638311279,0.646464646465,0.020202020202,0.0254540371507,0.018763326226,0.0298647023758,-5.71460923403e-05,-0.00446781131741
2021-08-02,2021,0.861517976032,103,101,103,103,2372,-0.0156929425363,-0.019455950541,0.356435643564,0.0693069306931,-0.00307599491101,0.029089376054,0.00732642237423,-0.0126169476253,-0.0230193649106
2021-08-03,2021,0.95079787234,103,103,103,103,2390,0.0255839971384,0.00319424460432,0.543689320388,0.0194174757282,0.00845072029663,0.0175732217573,-0.0166578937199,0.0171332768418,0.0422418908584
2021-08-04,2021,0.97609561753,103,102,103,102,2411,-0.0145004827467,-0.0154074909054,0.382352941176,0.0294117647059,0.000114184629358,0.0165906262961,0.00198159937171,-0.014614667376,-0.0164820821184
2021-08-12,2021,0.825396825397,105,103,105,103,2406,-0.0334329328152,-0.0324848484848,0.194174757282,0.0582524271845,-0.0354493129608,0.093931837074,-0.0406010103974,0.00201638014553,0.00716807758215
2021-08-17,2021,0.87037037037,103,99,103,102,2425,-0.00943498236588,-0.0157531831538,0.393939393939,0.0808080808081,0.000226696119096,0.0230927835052,-0.00525323905586,-0.00966167848498,-0.00418174331002
2021-08-20,2021,0.825396825397,103,101,103,101,2441,0.0323988641914,0.0231017699115,0.742574257426,0,0.0357355360309,0.00532568619418,0.0314331237869,-0.00333667183949,0.000965740404541
2021-08-23,2021,0.951058201058,103,102,103,102,2443,-0.000385266694908,-0.0115543571306,0.392156862745,0.0196078431373,0.000722640913942,0.0208759721654,0.0142154362962,-0.00110790760885,-0.0146007029911
2021-08-26,2021,0.945767195767,105,104,105,103,2487,0.00136666175483,-0.0122310037631,0.432692307692,0.0576923076923,-0.00355117708225,0.0474467229594,0.00786498329896,0.00491783883707,-0.00649832154413
2021-08-30,2021,0.920634920635,105,105,105,103,2516,-0.00305701915935,-0.004,0.466666666667,0.0761904761905,-0.001347311014,0.0472972972973,0.0152659188886,-0.00170970814535,-0.018322938048
2021-08-31,2021,0.974867724868,105,103,105,102,2520,-0.00556819453705,-0.0066033742435,0.466019417476,0.116504854369,-0.000579850246001,0.056746031746,0.000155117087953,-0.00498834429105,-0.005723311625
2021-09-01,2021,0.998677248677,106,102,106,101,2524,0.0207243751587,0.0135202762978,0.637254901961,0.0294117647059,0.0207733292739,0.00911251980983,0.0197032002687,-4.89541151512e-05,0.00102117489002
2021-09-02,2021,0.880952380952,106,101,106,102,2528,0.0233324178006,0.0230921131848,0.693069306931,0.00990099009901,0.0202023329939,0.0114715189873,0.00759168480588,0.00313008480674,0.0157407329947
2021-09-03,2021,0.859788359788,103,102,103,102,2533,0.0327599495813,0.0233216096126,0.676470588235,0.00980392156863,0.0282695689285,0.00868535333597,0.0129007018049,0.00449038065278,0.0198592477764
2021-09-08,2021,0.861111111111,106,106,106,105,2613,-0.0127880252613,-0.0190225660864,0.330188679245,0.0377358490566,-0.00305799437964,0.0126291618829,0.0112639478633,-0.00973003088162,-0.0240519731245
2021-09-09,2021,0.810846560847,108,107,108,107,2638,-0.00977417305689,-0.0230751445087,0.308411214953,0,-0.0125762797701,0.0166793025019,-0.0172540897414,0.0028021067132,0.00747991668453
2021-09-13,2021,0.900793650794,109,108,109,108,2664,-0.0321399883349,-0.0378107921764,0.175925925926,0.0185185185185,-0.0233602851631,0.0367867867868,-0.0163410623105,-0.00877970317175,-0.0157989260244
2021-09-14,2021,0.89417989418,109,109,109,109,2676,-0.00789002056423,-0.0157785630153,0.330275229358,0.0366972477064,-0.0162750434323,0.0411061285501,-0.0151418996134,0.00838502286807,0.00725187904919
2021-09-15,2021,0.835978835979,109,108,109,107,2678,-0.0252466891548,-0.0334329504733,0.287037037037,0.0740740740741,-0.0182227781348,0.0522778192681,-0.0172185978749,-0.00702391102,-0.00802809127995
2021-09-16,2021,0.928571428571,109,109,109,108,2676,3.57628419653e-05,-0.007,0.422018348624,0.045871559633,0.00516561150641,0.0276532137519,-0.0156799911478,-0.00512984866445,0.0157157539898
2021-09-17,2021,0.895502645503,109,107,109,107,2657,-0.0247868528991,-0.031397260274,0.308411214953,0.130841121495,-0.0104123892913,0.0459164471208,-0.0119652268919,-0.0143744636077,-0.0128216260072
2021-09-22,2021,0.899470899471,109,108,109,107,2670,-0.038250614853,-0.0447839626395,0.296296296296,0.175925925926,-0.0438642012109,0.194007490637,-0.0518495235466,0.00561358635793,0.0135989086936
2021-09-23,2021,0.82671957672,110,108,110,107,2661,-0.0531428042238,-0.0520271411808,0.222222222222,0.25,-0.0458504822799,0.170988350244,-0.0452902819055,-0.00729232194392,-0.00785252231831
2021-09-24,2021,0.968253968254,109,107,109,107,2651,-0.0779418915235,-0.0749219858156,0.0934579439252,0.299065420561,-0.059821589286,0.214258770275,-0.0629505225322,-0.0181203022375,-0.0149913689913
2021-09-27,2021,0.992063492063,108,107,108,106,2637,-0.0155194800755,-0.014152284264,0.327102803738,0.0467289719626,-0.00973357880973,0.0204778156997,-0.0177546748336,-0.00578590126578,0.00223519475808
2021-09-29,2021,0.895502645503,107,104,107,102,2601,0.0253365989334,0.0336109111075,0.663461538462,0.0480769230769,0.0246078489948,0.0199923106498,0.00493757985366,0.000728749938554,0.0203990190797
