family,track,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,002086.SZ,医疗器械,0.7049713429878766,4,1021,75307408.723,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.09695817490494296,-0.10056313229055192,-0.1026615969581749,282724166.52,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,002445.SZ,通用设备,0.7032567049808431,5,1021,86265951.512,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.08787878787878789,-0.09151999032238556,-0.12424242424242415,858838790.61,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,000776.SZ,证券Ⅱ,0.7025160138810538,6,1021,120798777.05349998,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.012363636363636354,-0.016306296497913264,-0.030545454545454542,149011720.36,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,603389.SH,家居用品,0.6788565617091454,7,1021,58463705.1,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.17201426024955446,-0.17531959254396745,-0.1960784313725491,4071738.0,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,600208.SH,房地产开发,0.676865079365079,8,1021,57796937.45,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.022292993630573354,-0.026196015612087953,-0.05095541401273884,88276327.0,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,002434.SZ,汽车零部件,0.6487964917648432,9,1021,64899249.46699999,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.032705649157581784,-0.036567103651962696,-0.043607532210108935,49447157.91,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,600482.SH,其他电源设备Ⅱ,0.6471174139481947,10,1021,179799832.1,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.043741879601559175,-0.04755927728778053,-0.09787786920744923,96371194.0,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,600110.SH,电池,0.6385695924445919,11,1021,70901304.95,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.061855670103092786,-0.06560075724838976,-0.07422680412371119,88339194.0,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,000008.SZ,轨交设备Ⅱ,0.6301790931127563,12,1021,166615501.89249998,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.03318584070796449,-0.03704537827000853,-0.05752212389380529,152235669.54,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,000989.SZ,中药Ⅱ,0.6252197971309054,13,1021,102499972.17650001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.03924133420536291,-0.043076698140670944,-0.06605624591236103,100963987.74,,,,
