audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at
MARKET|2018|ALL_A|03|000903.SZ|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-08,2018,3,-5,,2.8399999999999999,2.8399999141693115,False,284,284,0,-8.5830688334453953e-08,8.5830688334453953e-08,0.28571428571428564,0.81142857142857117,0.81142854690551736,0.80571428571428549,0.80571428571428549,0.80571428571428549,True,0.0035461195817230082,0.2074688796680498,201,0.010638287726868938,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00
MARKET|2018|ALL_A|03|000903.SZ|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-11,2018,3,-4,,2.8199999999999998,2.8199999332427979,False,282,282,0,-6.6757201988565384e-08,6.6757201988565384e-08,0.28571428571428564,0.80571428571428549,0.80571426664079915,0.8028571428571426,0.8028571428571426,0.8028571428571426,True,0.003558735830503851,0.32365145228215769,199,0.0071174309347023963,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00
MARKET|2018|ALL_A|03|000903.SZ|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-12,2018,3,-3,,2.8500000000000001,2.8499999046325684,False,285,285,0,-9.5367431729442842e-08,9.5367431729442842e-08,0.28571428571428564,0.81428571428571417,0.81428568703787652,0.79999999999999982,0.79999999999999982,0.79999999999999982,False,0,0,2,0.014285700661795523,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00
MARKET|2018|ALL_A|03|000903.SZ|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-13,2018,3,-2,,2.8100000000000001,2.809999942779541,False,281,281,0,-5.7220459037665705e-08,5.7220459037665705e-08,0.28571428571428564,0.80285714285714271,0.8028571265084401,0.79999999999999982,0.79999999999999982,0.79999999999999982,True,1.7029898602416441e-08,0,232,0.0035714251654489501,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00
MARKET|2018|ALL_A|03|000903.SZ|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000903.SZ,000903,2018-06-14,2018,3,-1,,2.79,2.7899999618530273,False,279,279,0,-3.8146972691777137e-08,3.8146972691777137e-08,0.28571428571428564,0.79714285714285693,0.79714284624372189,0.79999999999999971,0.79999999999999971,0.79999999999999971,True,0.010714292526245037,0.7136929460580913,0,0.0071428503308977624,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00
MARKET|2018|ALL_A|04|600038.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-08,2018,4,-5,,41.340000000000003,41.349998474121094,False,4134,4135,1,0.0099984741210903394,0.0099984741210903394,0.021294718909710384,0.88032367972742731,0.88053659442336196,0.8592419080068141,0.8592419080068141,0.8592419080068141,False,0,0,19,0.019826499059740967,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00
MARKET|2018|ALL_A|04|600038.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-11,2018,4,-4,,41.420000000000002,41.439998626708984,False,4142,4144,2,0.01999862670898267,0.01999862670898267,0.021294718909710381,0.88202725724020403,0.88245312237455198,0.8592419080068141,0.8592419080068141,0.8592419080068141,False,0,0,1,0.010904550847806293,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00
MARKET|2018|ALL_A|04|600038.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-12,2018,4,-3,,42.18,42.180000305175781,False,4218,4218,0,3.0517578153421709e-07,3.0517578153421709e-07,0.021294718909710381,0.89821124361158389,0.8982112501102163,0.8592419080068141,0.8592419080068141,0.8592419080068141,False,0,0,16,0.023544008994781953,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00
MARKET|2018|ALL_A|04|600038.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-13,2018,4,-2,,41.939999999999998,41.950000762939453,False,4194,4195,1,0.010000762939455399,0.010000762939455399,0.021294718909710384,0.89310051107325339,0.89331347450893184,0.8592419080068141,0.8592419080068141,0.8592419080068141,False,0,0,113,0.0061957868649319013,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00
MARKET|2018|ALL_A|04|600038.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600038.SH,600038,2018-06-14,2018,4,-1,,40.159999999999997,40.189998626708984,False,4016,4019,3,0.029998626708987786,0.029998626708987786,0.021294718909710384,0.85519591141396889,0.8558347237374142,0.8592419080068141,0.8592419080068141,0.8592419080068141,True,0.0079306374399783861,0.016597510373443983,239,0.0039652998119481678,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00
MARKET|2018|ALL_A|05|000852.SZ|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,000852.SZ,000852,2018-06-08,2018,5,-5,,8.0299999999999994,8.0299997329711914,False,803,803,0,-2.6702880795426154e-07,2.6702880795426154e-07,0.10111223458038424,0.8119312436804853,0.81193121668060586,0.78463094034378156,0.78463094034378156,0.78463094034378156,False,0,0,199,0.0077319513891160969,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00
